"","filter","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp4_1_Run59.mzML","NEG_TJGIp4_2_Run88.mzML","NEG_TJGIp4_3_Run183.mzML"
"337/325.1057mz/3.06min",377578.405,398071.12,362127.06,218717.19,393029.75,465671.62,295626.72
"341/173.0819mz/3.05min",1007083.1,1234346.2,958028.1,760568.7,668648,1056138.1,1076411.6
"342/136.0404mz/3.05min",149771.19,156666.95,137920.12,132560.6,152133.8,147408.58,166306.97
"343/164.0354mz/3.05min",2371250.6,2494853,2246296,2127112.2,2410499,2332002.2,2553617
"345/120.0455mz/3.05min",510993.035,564099.25,490137.9,452741.12,529820.1,492165.97,556649
"347/456.2003mz/3.1min",477104.65,501392.44,495692.7,277598.06,458516.6,533991.5,403153.28
"348/202.1086mz/3.11min",96702.175,103164.734,78513.29,70552.03,102804.42,95257.4,98146.95
"349/255.135mz/3.12min",835210.5,918105.6,849189.7,584235.2,836206.5,779278,834214.5
"350/206.0823mz/3.13min",4029249,4162824.8,3843150.2,2898816.8,4253647,3996392.5,4062105.5
"351/325.1057mz/3.13min",451767.185,520027.38,440642.16,364767.78,461229.34,591640.56,442305.03
"352/188.0354mz/3.14min",620949.65,656840.5,757300,462862.12,653690.6,588208.7,580949.25
"353/159.1027mz/3.15min",46193.3885,57385.95,44134.027,23788.766,17935.207,48252.75,50840.074
"354/188.0928mz/3.16min",304702.18,297596.2,506230.62,230750.12,266514.88,409042.72,311808.16
"355/271.1664mz/3.17min",121781.125,126537.39,86871.086,76804.08,139504.66,128975.67,117024.86
"356/294.0984mz/3.18min",222373.735,244901.16,99172.734,155696.81,199846.31,337780.4,301442.56
"358/160.0405mz/3.19min",1291877,1481933.2,1587384.2,940915.6,1326546.6,1210964.4,1257207.4
"359/116.0506mz/3.2min",380743.78,455444.06,478284.97,134629.98,397440.56,364047,360625.03
"360/245.0932mz/3.2min",1966489.95,1778629.1,1366942.9,1411114.8,2366532.8,2159819.5,2154350.8
"361/250.0721mz/3.21min",379495.765,371545.78,336745.34,315371.03,491675.88,401636.97,387445.75
"363/269.1508mz/3.22min",1256039,1367598.6,1050853.1,971392.94,1328651.1,1279741.1,1232336.9
"364/171.0664mz/3.23min",348511,309607.75,231234.52,220412.53,387414.25,551844.7,586577.56
"365/257.1508mz/3.24min",1426352.2,2793321.5,1344707.4,810444.4,1507997,2312131.8,1227473.9
"369/178.051mz/3.25min",2764841.9,2701724.8,2309202,2390689.8,3382301.2,2827959,3076048
"370/261.1343mz/3.27min",171994.11,227510,300229.16,150345.62,111950.76,135964.14,193642.6
"371/144.0455mz/3.27min",513510.135,619315.8,671242.5,411905.53,522386.8,499904.8,504633.47
"372/214.1086mz/3.27min",219168.525,260309.75,161427.7,176439.47,238535.42,215303.08,223033.97
"373/202.1087mz/3.28min",106931.935,89652.41,174263.14,85065.62,112670.28,117298.23,101193.59
"375/380.1576mz/3.28min",93456.66,93363.9,90670.234,74798.016,121447.86,93549.42,103809.95
"376/164.0354mz/3.29min",181031.675,176618.58,119252.94,145517.1,202434.83,185444.77,186007.84
"377/172.098mz/3.25min",86404.6445,94241.914,70028.99,78567.375,121082.18,237074.55,44549
"378/229.1194mz/3.29min",33329.125,31863.89,34794.36,20143.033,6998.9673,37593.332,37966.977
"379/305.1507mz/3.3min",25946.969,23923.438,20804.318,16144.218,31558.53,27970.5,29228.783
"381/138.0197mz/3.33min",986090.83,1110769.4,885026.25,935043.1,852671.56,1345980.6,1037138.56
"383/218.1048mz/3.33min",70546.345,70508.5,59418.21,46274.86,70584.19,84749.15,87630.836
"384/193.0506mz/3.35min",373799.39,306427.62,179436.86,249730.14,499470.06,497666.56,441171.16
"385/130.0874mz/3.36min",166286.28,105596.37,206066.44,91241.06,126506.12,224407.5,209463.56
"386/241.1195mz/3.35min",240636.135,245805,85687.484,233238.67,257325.38,302050.44,235467.27
"387/186.1136mz/3.36min",2582892.4,2884688.2,2474596.5,2059337.4,3017145,2541954,2623830.8
"389/339.1538mz/3.36min",39788.8205,31814.828,40168.145,39409.496,34934.375,47118.69,48443.375
"390/261.1344mz/3.36min",973578.22,1268114.6,1528485.4,881181.44,695034.56,822132,1065975
"392/314.1036mz/3.37min",97701.9775,122834.98,113825.68,80359.11,88401.516,95920.51,99483.445
"393/245.0456mz/3.38min",45276.5325,41530.723,24153.201,41907.35,64637.633,55335.445,48645.715
"394/287.1248mz/3.39min",36513.7825,96071.71,142402.62,34005.805,19301.639,39021.76,11652.91
"395/441.1911mz/3.41min",29506.287,35646.793,695.70634,23365.781,69583.7,64470.1,3478.5317
"397/380.0446mz/3.4min",138627.4,123249.13,92675.766,113095.97,163146.89,154005.67,154427.53
"398/243.1238mz/3.43min",85006.553,94114.15,123537.125,89925.766,58759.46,80087.34,75720.695
"399/156.0667mz/3.42min",69304.595,68771.9,69837.29,59039.203,67350.414,72112.1,88773.76
"400/189.1131mz/3.42min",136912.985,149010.05,134481.92,69286.805,85768.17,145938.83,139344.05
"401/271.1664mz/3.36min",1167237.2,1185631.6,845989.1,759530.44,1212188.9,2088017.9,1148842.8
"404/241.0619mz/3.44min",353943.46,301723.88,266276.1,372974.62,334912.3,424581.12,447247.03
"406/257.1031mz/3.45min",1147326.4,1325118.2,969534.6,938761.7,683170.7,1690255.9,1666931.4
"407/209.0795mz/3.45min",1585193.9,1592474.4,1647146.1,1570192.4,1033593,1577913.4,1712148.2
"408/125.0972mz/3.45min",1034844.15,1250062.8,984737.7,864458.7,652446.56,1084950.6,1104532.6
"409/187.0976mz/3.45min",30930409,34929676,29550620,25399812,19945066,32400652,32310198
"410/145.087mz/3.47min",297163.44,312352.28,264706.3,244313.97,409892.22,375585.7,281974.6
"411/191.0747mz/3.46min",109579.6525,131285.88,91806.555,105576.305,96669.69,113583,134529.75
"413/291.1351mz/3.46min",366319.07,443628.66,424605.47,243640.88,367845.84,342602.84,364792.3
"414/313.1881mz/3.46min",2984289.5,3171564,2816409,2214868.5,2427929.8,4009931.8,3152170
"415/228.1031mz/3.47min",2513581.5,3078564,2760070,2208067.8,2618055.2,2302275,2409107.8
"417/230.1033mz/3.48min",840847.18,807598.3,728677.7,621769.44,918365.44,874096.06,902624.7
"418/220.0979mz/3.49min",937007.155,993126.4,900127.7,724671,1082590.1,907420.75,966593.56
"419/156.0667mz/3.51min",48991.6465,47411.84,55934.93,38687.24,45784.89,50571.453,61825.316
"422/361.2246mz/3.54min",314274.07,236999.31,254020.9,290674.3,684047.9,573469.4,337873.84
"423/407.2299mz/3.54min",303435.765,212956.9,236154.4,275593.75,672387.44,565168.2,331277.78
"425/397.201mz/3.54min",621077.55,715505.7,452303.3,408743.66,1379949.4,1061962.9,526649.4
"426/200.0929mz/3.55min",1095399.8,1082907.5,880780.3,965518.44,1373511.5,1207175.8,1107892.1
"427/156.103mz/3.55min",656080.92,721300.06,517615.88,493141.16,870760.56,614557.4,697604.44
"428/144.0455mz/3.55min",130198.56,108295.12,152102,22764.494,84974.83,472420.47,285729.88
"429/222.0773mz/3.57min",235663.57,298216.44,258102.66,175968.92,208444.17,230713.03,240614.11
"430/305.1507mz/3.57min",95588.34,98028.58,72228.414,63641.06,103882.69,93148.1,98209.31
"431/243.1238mz/3.57min",1765544.5,2375271.5,1460402,1168161.2,1127382.5,2114001.8,2070687
"432/354.2035mz/3.59min",276009.075,334482.4,108676.266,217491.48,323839.5,272890.12,279128.03
"433/168.0304mz/3.59min",11022.0446,11022.0446,11022.0446,11022.0446,11022.0446,55110.223,11022.0446
"434/271.1665mz/3.59min",4080425.35,4319502.5,3601517.8,3020989.2,3975070.2,4992067,4185780.5
"435/339.1538mz/3.6min",145229.905,132573.53,148092.34,142367.47,134143.22,192686.34,170253.1
"436/191.0748mz/3.6min",334827.5,392281.34,265235.34,318434.38,304803.72,351220.62,380158.94
"437/269.1509mz/3.63min",29198.0745,58004.773,28296.42,11234.766,4287.978,30099.729,40058.766
"438/185.082mz/3.62min",11096.64165,15271.648,6921.6353,6916.9775,3602.0908,35159.46,43555.664
"439/151.0262mz/3.63min",97234.485,112703.67,84923.49,55784.07,80688.945,142911.05,109545.48
"441/257.1508mz/3.68min",135735.89,146943.4,106863.58,92245.93,135342.53,140762.38,136129.25
"442/285.182mz/3.69min",8370027.25,8555546,5904787,5685149.5,8585248,8840426,8184508.5
"443/571.3713mz/3.69min",116699.7775,119273.445,51373.4,55151.973,142377.98,194141.88,114126.11
"444/200.101mz/3.69min",544367.845,588483.25,436076.03,437927.12,622277.75,605149.5,500252.44
"445/155.1078mz/3.69min",1817905.6,1977831.8,1399144.2,1439179.2,2058215,2003314.4,1657979.4
"446/199.0977mz/3.69min",5122357.75,5475703,4102197.5,4148100,5846920,5712600,4769012.5
"447/221.0796mz/3.69min",423212.69,423767.6,391332.94,419802.75,445624.84,462478,422657.78
"448/214.1449mz/3.7min",49753.535,59995.094,64521.633,55236.625,30650.254,43592.668,44270.445
