"","filter","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp7_1_Run16.mzML","POS_TJGIp7_2_Run140.mzML","POS_TJGIp7_3_Run155.mzML"
"4384/413.3232mz/7.62min",508434.13,448046.8,585834.56,454208.9,491950.66,597486.9,524917.6
"4394/447.2866mz/7.64min",543367.19,1611089.8,385833.3,40437.58,1103884.8,652818.94,433915.44
"4395/451.3181mz/7.59min",488854.7,1269216.9,541303.06,98691.17,1994787,436406.34,242575.83
"4398/706.4647mz/7.59min",494029,4244304,403096.25,312480.25,3656640,584961.75,160792.28
"4399/484.3419mz/7.65min",384175.26,840370.2,261108.05,252701.36,516946,421600.62,346749.9
"4412/241.2159mz/7.65min",681032.8,380093.03,736814.1,625251.5,424177.9,755078.75,754264.3
"4416/255.2316mz/7.65min",709156.47,431668.75,784496,633816.94,454989.12,821455.1,807704.75
"4417/269.2472mz/7.65min",654875.35,386728.84,715320.8,594429.9,413739.16,751290.7,742236.3
"4418/303.3042mz/7.65min",864038.9,480588.44,931703.4,796374.4,531685.9,946289.94,960192.44
"4420/227.2004mz/7.65min",605878.25,336325.34,659508.4,552248.1,395211.22,697606.94,680082.06
"4422/321.3148mz/7.65min",10044501.5,5791423,10886656,9202347,6330208.5,11093402,11152555
"4423/339.3254mz/7.65min",35867998,20029448,38515932,33220064,21701666,39452570,39377384
"4429/380.3518mz/7.65min",1059374.08,514593.3,1126422.5,1021846.06,558455.7,1096902.1,1161154.4
"4430/357.3358mz/7.65min",2264675.6,1185086.2,2423478,2105873.2,1236307.1,2496709.2,2479703.8
"4431/614.5977mz/7.63min",30350.66,151753.3,30350.66,30350.66,1524914.9,30350.66,30350.66
"4433/327.2678mz/7.65min",805013.85,515733.53,1006405.56,698712.06,745795.3,864232.4,869993.44
"4437/754.462mz/7.67min",64884.2175,93996.54,35771.895,27389.334,1096316.8,34420.13,140821.81
"4442/662.4387mz/7.62min",10333.5355,1096265.9,7256.7295,6205.843,468887,8762.65,11904.421
"4443/728.447mz/7.61min",20155.4625,1723404,20892.555,617.0371,2055456.1,19418.37,3085.1855
"4446/732.4804mz/7.65min",1103124.5,199375.44,375331.3,992441.4,2313401.5,2458738,1213807.6
"4447/740.522mz/7.66min",4512976,663950.9,3319754.5,15791096,663950.9,21380552,5706197.5
"4449/672.4217mz/7.67min",309510.595,6356298.5,231752.11,240379.75,4485426.5,378641.44,162676.84
"4450/417.336mz/7.67min",986337.7,1161374.4,811301,521615.2,1383382.8,1171360.4,749417.6
"4451/676.4542mz/7.67min",5315030,3361986.8,4493339,4269222.5,7407610.5,9240068,6136721
"4453/599.5031mz/7.67min",882906.01,31343.304,156716.52,2057089.1,31343.304,3613730.8,1609095.5
"4456/413.3028mz/7.67min",3023369.4,5085960,2457830.5,1480278.8,5829897.5,2945727,3101011.8
"4460/499.3393mz/7.69min",248815.84,1372156.6,229297.8,38476.445,607247.4,268333.88,155251.98
"4474/373.3097mz/7.68min",4199032.35,4895021,2939739.5,2262290.2,6076681,4420452.5,3977612.2
"4475/385.3461mz/7.68min",753757.2,722857.8,784656.6,640301,703333.94,796560.7,833148.06
