"","FC","log2(FC)","raw.pval","-log10(p)"
"9585/686.5434mz/9.66min",2.012,1.0086,0.019771,1.704
"7874/509.3692mz/5.13min",0.067752,-3.8836,0.019947,1.7001
"7437/509.2966mz/4.5min",2.484,1.3126,0.020052,1.6979
"7835/495.3535mz/5.05min",0.12568,-2.9922,0.020733,1.6833
"9539/631.4803mz/9.47min",3.2935,1.7196,0.021463,1.6683
"9160/312.3256mz/8.26min",2.1139,1.0799,0.022004,1.6575
"9049/650.4384mz/8.13min",11.786,3.559,0.022094,1.6557
"9323/550.6283mz/8.84min",2.6459,1.4038,0.022966,1.6389
"9261/429.3724mz/8.51min",2.7362,1.4522,0.023841,1.6227
"8437/664.4624mz/6.47min",21.69,4.4389,0.023912,1.6214
"8435/625.3914mz/6.47min",14.052,3.8127,0.024186,1.6164
"7082/383.2298mz/4.0min",2.8141,1.4927,0.024499,1.6108
"8379/361.2345mz/6.41min",13.822,3.7889,0.02455,1.61
"8433/581.3653mz/6.47min",14.126,3.8203,0.024767,1.6061
"8507/364.1903mz/6.63min",5.5287,2.4669,0.024926,1.6034
"9501/672.5279mz/9.4min",2.0495,1.0353,0.024944,1.603
"8439/669.4177mz/6.47min",14.178,3.8256,0.02534,1.5962
"7563/336.1743mz/4.66min",0.40369,-1.3087,0.025413,1.5949
"9687/659.5113mz/10.1min",2.8074,1.4892,0.025739,1.5894
"7954/295.2264mz/5.29min",2.2446,1.1665,0.025822,1.588
"8421/493.3129mz/6.46min",14.457,3.8537,0.026131,1.5828
"8426/537.3393mz/6.47min",13.591,3.7646,0.02615,1.5825
"8406/449.2868mz/6.45min",14.397,3.8477,0.026199,1.5817
"7616/291.1952mz/4.7min",3.4928,1.8044,0.02633,1.5795
"7319/559.3123mz/4.31min",4.1335,2.0474,0.026482,1.5771
"8985/309.2783mz/7.94min",3.6713,1.8763,0.02665,1.5743
"8446/708.4886mz/6.48min",19.887,4.3138,0.027015,1.5684
"8048/297.2057mz/5.49min",2.3186,1.2133,0.027262,1.5644
