row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_PF_MC_RCG_2_neg_20210511_Run97.mzML Peak area,GF_PF_MC_RCG_1_neg_20210511_Run79.mzML Peak area,GF_PF_MC_RCG_3_neg_20210511_Run198.mzML Peak area,
7,132.0302299288832,0.33206102,,,,,,,,,,,139170.39,328260.16,490895.7,1054773.9,1130230.1,1323652.2,
204,132.05660641807134,0.52046627,,,,,,,,,,,65810.4,125653.11,943024.75,548766.25,535672.06,586176.0,
3255,132.92340527737417,7.702713,,,,8,,,,,,,1307456.4,1127259.9,1400259.5,1133115.6,1575157.0,1395052.1,
3089,132.9234110489402,7.4503307,,,,,,,,,,,409803.38,374802.97,493888.56,383032.16,428272.8,473185.25,
3404,132.92341421251498,8.14452,,,,11,,,,,,,2507335.0,2115976.2,785522.4,2129839.5,2618767.0,2305352.5,
3445,132.92341805217907,8.265301,,,,,,,,,,,495502.94,1056150.4,1037220.5,889553.25,584901.9,986808.8,
3484,132.92342217596845,8.426761,,,,,,,,,,,2224106.2,1084282.9,1225672.1,153453.61,659344.1,738388.6,
202,133.0141802763712,0.51276946,,,,195,,,,,,,1145074.5,2066235.2,1906555.6,1.9674896E7,1.8745056E7,1.6301172E7,
566,133.0142404204317,1.0220538,,,,,,,,,,,0,46422.43,12831.09,2653309.0,2490136.2,2097367.5,
316,133.05053042806733,0.6559869,,,,143,,,,,,,2116299.5,1598365.9,2013598.6,3912199.5,3525766.8,4644294.0,
69,133.0506151738742,0.39259672,,,,111,,,,,,,2185663.2,2485197.2,2583969.5,5771408.5,6163852.0,6260856.0,
