Filename,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML,POS_D5-227-C3-a_Run274.mzML,POS_D5-227-C3-b_Run277.mzML,POS_D5-227-C3-c_Run280.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
681/174.9568mz/10.37min,2511086.8,2453941.5,2466169.5,1513069.0,1015959.9,1501609.0
682/158.9861mz/10.37min,3042893.8,3095836.5,3145120.2,2910008.2,2895210.0,2980517.5
683/115.964mz/10.38min,2156360.2,2001137.5,2425267.5,2041794.1,1832494.6,1849631.1
684/109.5217mz/10.38min,4941068.0,5096003.0,5259094.5,5101978.0,4799417.0,4866031.0
687/144.9822mz/10.38min,3028622.8,3566643.0,3571936.5,3689071.2,3509850.8,3536133.5
688/130.5217mz/10.39min,2379528.2,2255533.8,2290723.8,2433891.8,2078032.4,2077621.2
689/165.983mz/10.4min,2994280.8,2999492.8,2786776.0,2712434.2,2174310.8,1957816.0
690/377.7378mz/10.43min,702159.25,543409.7,211598.34,1442236.6,1169378.4,1375221.0
691/94.0451mz/10.44min,4939875.0,4974401.0,4732135.5,5163483.0,5232394.0,5248373.0
692/208.0393mz/10.51min,2781455.0,2890163.0,2846321.0,3070718.5,3170316.8,3267327.0
694/168.0161mz/10.47min,2303669.5,2426957.2,2340229.5,2253449.5,2420149.2,2484705.8
695/154.005mz/10.48min,2444328.2,2515498.2,2517970.5,2603580.0,1719035.4,1781846.1
697/167.0129mz/10.48min,43583810.0,45706830.0,44698970.0,46473890.0,46232004.0,46765330.0
698/102.5355mz/10.48min,11980027.0,12205041.0,12592613.0,13203509.0,13141997.0,13346884.0
699/102.0339mz/10.48min,138539550.0,140281650.0,145151520.0,152110290.0,151865200.0,155222100.0
701/125.9862mz/10.48min,23375738.0,21710632.0,22511954.0,21222050.0,23663760.0,22079440.0
702/81.5205mz/10.48min,29259034.0,27274882.0,27966768.0,31782304.0,30821436.0,24005242.0
703/174.9534mz/10.45min,229216.58,522743.88,551694.9,643777.0,412886.72,880197.1
704/104.0303mz/10.49min,3202513.0,3615046.0,3703096.5,3900651.5,3882789.5,3999660.2
