"","filter","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-6MSAS_1_Run91.mzML","2024_POS_Y-6MSAS_2_Run108.mzML","2024_POS_Y-6MSAS_3_Run135.mzML"
"550/402.2485mz/3.52min",62702.486,61869.062,74944.766,132270.55,58035.812,63535.91,56463.816
"552/213.1597mz/3.53min",539290.47,506720.53,561148.06,1222449.1,517432.88,503832.88,584657.75
"553/274.1648mz/3.54min",870238.02,884340.7,887527.9,860537.8,867530.44,872945.6,827091.9
"554/419.2022mz/3.55min",606485.85,583275.5,629696.2,1538330.1,422513.75,661624.06,564388.7
"555/228.2321mz/3.56min",185052.875,194626.83,175478.92,261411.95,195149.72,154847.23,174017.61
"557/210.1124mz/3.6min",298278.35,321473.9,344293.25,563310.7,251400.28,275082.8,211708.66
"558/224.0917mz/3.62min",58235.265,47538.84,68931.69,227577.92,36575.875,43184.98,71696.27
"560/228.2321mz/3.67min",2578963.35,2663886.2,2698654.8,3458397.5,2494040.5,2349850.8,2491316.2
"561/246.1699mz/3.69min",218723.24,225424.4,230531.92,201745.98,227183.5,204207.39,212022.08
"562/182.1903mz/3.68min",43555.033,50017.29,44128.832,62018.53,42981.234,28362.436,37083.395
"563/235.0865mz/3.7min",314252.57,301022.53,325772.3,418694.75,337775.4,293833.53,302732.84
"564/402.2484mz/3.64min",276641.41,250200.86,332562.66,488374.66,272041.44,281241.38,262493.25
"565/591.2257mz/3.72min",246693.72,327483.28,225086.5,283829.16,243542.47,249844.97,228496.23
"566/586.2703mz/3.72min",1065273.88,1540216.4,1004335.56,1335931.8,1126212.2,989970.94,973663.7
"567/320.1703mz/3.75min",64688.3045,71037.47,70257.914,59118.695,75009.875,56621.445,50856.344
"568/195.138mz/3.83min",107707.417,106271.484,109143.35,105776.21,92664.42,113136.86,109210.08
"569/233.0784mz/3.85min",511605.83,568200.06,518698.22,479241.47,565405.5,504513.44,475104.12
"570/296.1182mz/3.87min",1047934.1,1022221.1,1073647.1,1291972.4,1132519.9,905606.06,959257.06
