row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp4_2_Run109.mzML Peak area,NEG_TJGIp4_3_Run189.mzML Peak area,NEG_TJGIp4_1_Run44.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
127,243.1237572041213,3.139529,,,,,,,,,,,27692.758,26441.47,22133.71,33753.207,44311.453,34305.18,
165,243.12376874894946,3.5705845,,,,128,,,,,,,694237.6,686725.56,588313.6,1492608.0,1771047.0,1434981.1,
204,243.1238692208054,3.9522476,,,,,,,,,,,0,0,0,50565.402,73548.336,66462.04,
873,243.1963967912012,6.437927,,,,110,,,,,,,837396.06,829530.6,965830.8,695891.2,746841.25,726002.9,
793,243.1964172233098,6.1973004,,,,116,,,,,,,180637.88,167333.52,196028.55,136230.9,147355.05,131779.14,
15,244.06720999150298,0.36918676,,,,64,,,,,,,1262881.1,1449076.0,859371.1,1075205.1,1515794.6,1233077.2,
20,245.04475080516747,0.3723371,,,,64,,,,,,,448305.9,510696.5,358484.3,405412.22,549720.1,404931.62,
209,245.04565854869972,3.9649878,,,,,,,,,,,159280.52,167936.39,132200.7,121498.36,141045.3,143889.64,
131,245.09317284178925,3.206625,,,,57,,,,,,,1637623.0,1627530.5,1392820.6,1527262.2,1903875.4,1819790.5,
254,249.1108496992399,4.3350697,,,,27,,,,,,,270067.56,297917.7,239278.36,478491.66,527548.4,536813.6,
937,249.14960265751463,6.6203275,,,,10,,,,,,,897509.3,908081.94,798713.8,1063337.4,1120886.6,830571.5,
360,253.14446042067138,4.846352,,,,,,,,,,,367482.5,248239.73,325538.78,452817.5,475084.25,369331.5,
155,257.10303069324846,3.4495945,,,,136,,,,,,,261757.64,320501.3,171415.75,811688.1,1030088.5,906718.8,
319,257.1394564963664,4.6960454,,,,,,,,,,,573109.56,577825.94,220469.56,577788.06,1095330.8,823725.44,
838,257.2121879385397,6.331936,,,,,,,,,,,55440.008,51388.195,61077.11,31579.164,43119.516,39210.438,
962,257.21220945458657,6.759819,,,,56,,,,,,,1968526.4,1217315.6,1062729.9,1485788.9,1678699.6,892451.56,
906,257.21224626819605,6.5420156,,,,,,,,,,,334139.5,337769.0,359989.9,231724.45,256761.42,251409.66,
284,258.1710394245381,4.5503454,,,,,,,,,,,7833138.0,7934752.5,7274130.0,7295707.0,8287453.0,1.0603202E7,
138,261.13430392689776,3.2750752,,,,129,,,,,,,138855.48,152712.9,83569.84,346736.94,399631.44,287355.78,
148,261.13436074736535,3.3646545,,,,97,,,,,,,847585.4,885417.6,583468.3,2150559.0,2504456.5,1764719.9,
439,263.07133245859904,5.1549253,,,,18,,,,,,,625647.75,645403.94,498692.4,367665.38,411017.03,475892.62,
1991,265.14774005180726,10.2325115,,,,,,,,,,,184691.36,230167.19,144380.11,97523.94,211381.83,123691.47,
843,265.1477712271994,6.3396964,,,,,,,,,,,91841.766,3720.3755,113754.35,0,0,666723.25,
631,265.14784499960194,5.844026,,,,,,,,,,,2.087731E7,5.301358E7,1.1998733E7,0,1.5258132E7,0,
681,265.14787162446106,5.8900723,,,,91,,,,,,,5.618581E7,1.2462651E7,6.508091E7,2.554209E7,1.812229E7,2.0043714E8,
461,266.11864065987703,5.2501616,,,,,,,,,,,207605.73,242239.22,347465.66,265496.62,227392.5,214003.16,
401,267.1601503351222,5.0313253,,,,,,,,,,,163666.98,173465.75,144470.98,221974.95,249501.69,379452.25,
696,268.14689229376273,5.905541,,,,,,,,,,,166039.52,20006.97,344058.56,101268.21,0,1123653.9,
359,269.131170856692,4.8580933,,,,,,,,,,,697030.44,764867.4,891403.5,601071.1,862281.44,258961.11,
