Filename,2024_NEG_Y-EV_1_CTRL_Run89.mzML,2024_NEG_Y-EV_2_CTRL_Run118.mzML,2024_NEG_Y-EV_3_CTRL_Run139.mzML,2024_NEG_Y-p10_1_Run104.mzML,2024_NEG_Y-p10_2_Run130.mzML,2024_NEG_Y-p10_3_Run145.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
231/341.0486mz/4.56min,713415.0,724789.75,691402.25,740461.9,753151.25,705397.6
233/404.0444mz/4.56min,441468.97,450982.16,397570.47,468300.03,486186.44,447017.78
234/497.0371mz/4.67min,1529486.2,1528771.4,1537139.2,1554100.8,1462336.2,1553483.4
236/637.0305mz/4.74min,5148720.0,5728408.5,6099299.0,5943453.0,5198232.5,5370636.0
238/227.9666mz/4.74min,6044906.0,6444993.5,6507448.5,6530966.0,6221298.0,6227475.5
239/229.9645mz/4.74min,5962377.5,6257572.0,6281956.0,6414641.5,6100762.5,6156292.5
240/230.9678mz/4.74min,453998.22,476826.62,507543.5,507166.9,481247.88,501827.03
241/228.9699mz/4.74min,490618.6,506263.34,503694.16,507956.62,501137.47,507370.78
243/268.9857mz/4.76min,410500.8,464914.88,482757.22,499797.2,477244.66,478877.84
244/266.9888mz/4.76min,1341550.4,1477297.2,1509454.0,1558331.0,1426116.8,1488660.9
245/909.0177mz/4.92min,177093.1,647804.7,295000.0,458603.0,381777.0,320046.56
246/426.9678mz/4.92min,8612498.0,12882144.0,9713083.0,8206915.0,8863263.0,8157663.5
247/481.0421mz/4.92min,4716066.0,4431022.5,5408636.0,4784339.0,4557226.0,4442705.0
248/544.0379mz/4.92min,1927776.9,1844131.1,2129204.2,1863330.4,1758249.6,1763171.2
250/214.8799mz/4.91min,0.0,0.0,5011.2827,0.0,0.0,293878.3
251/241.8989mz/4.95min,59726.113,82980.7,61961.027,150606.97,77342.5,461890.78
253/653.0254mz/4.99min,71990.29,73287.63,87954.414,77881.38,83070.27,82744.016
254/242.1761mz/5.13min,72657.17,67048.016,180981.14,20075.363,6065.409,46951.4
255/241.8989mz/5.43min,202874.22,1288056.5,15654.265,130412.45,611985.5,83803.0
256/362.2909mz/5.45min,159824.86,142169.53,150321.39,184083.84,524622.0,89716.984
258/214.88mz/5.49min,1034369.3,153247.12,5249.3657,906536.7,855700.25,0.0
259/241.8989mz/5.49min,1765625.1,719349.6,25456.807,1451744.5,926238.3,17529.068
260/187.861mz/5.51min,258517.75,12625.705,0.0,224907.47,240736.22,0.0
261/569.2734mz/5.69min,318845.44,599113.3,436429.12,339140.2,324060.16,307264.12
262/494.2524mz/5.7min,156322.77,144326.42,96169.38,83706.336,116089.92,73957.164
264/450.2625mz/5.74min,1683228.9,1443856.4,1159980.8,1025432.94,1525477.2,976665.0
265/538.3152mz/5.79min,2747602.5,2403146.8,1591195.5,1293688.1,1349518.4,1258225.8
