row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C4-c_Run188.mzML Peak area,NEG_D5-211-C4-a_Run182.mzML Peak area,NEG_D5-211-C4-b_Run185.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
672,537.3945416316803,9.792008000000001,,,,,,,,,,,0.0,0.0,0.0,347149.06,400313.9,513985.62,
336,545.4019988972664,7.6873593,,,,,,,,,,,0.0,0.0,0.0,310210.44,117346.766,267886.2,
568,546.4303041562645,8.706692,,,,,,,,,,,0.0,0.0,0.0,3230274.2,2547870.2,2132130.0,
322,557.2811631256553,7.5483365000000004,,,,39.0,,,,,,,0.0,0.0,0.0,395436.16,396491.6,506449.12,
352,557.2811796480471,7.754173,,,,51.0,,,,,,,0.0,0.0,0.0,558752.3,601270.94,676706.5,
70,561.2514435068175,3.9994957,,,,,,,,,,,0.0,0.0,0.0,131366.05,252184.88,417414.56,
243,561.3969075903484,7.0983253,,,,,,,,,,,0.0,0.0,0.0,500088.03,262653.78,461249.0,
545,562.4250970434375,8.597819,,,,,,,,,,,0.0,0.0,0.0,306745.84,238766.05,392646.94,
170,563.2381371360523,6.0069585,,,,,,,,,,,0.0,0.0,0.0,374614.94,384757.25,464846.44,
101,568.2962966602694,4.726814,,,,28.0,,,,,,,0.0,0.0,0.0,756033.0,768481.94,653115.9,
102,573.251729646669,4.730374299999999,,,,28.0,,,,,,,0.0,0.0,0.0,4588901.5,4522530.0,4186200.5,
227,577.3608798935921,6.8606095,,,,,,,,,,,0.0,0.0,0.0,798815.75,1099165.6,1054404.8,
470,579.2631320410602,7.902227000000001,,,,62.0,,,,,,,0.0,0.0,0.0,837409.8,866906.25,983598.94,
350,579.2632261968622,7.7524066,,,,51.0,,,,,,,0.0,0.0,0.0,3199290.0,3367377.5,3899239.5,
317,579.2632567690428,7.544756,,,,39.0,,,,,,,0.0,0.0,0.0,2711241.5,2684396.0,3485227.0,
666,587.4643569184577,9.619409,,,,34.0,,,,,,,0.0,0.0,0.0,1162991.4,1608323.6,818069.2,
713,588.8977198027146,10.2333975,,,,32.0,,,,,,,590154.6,572729.94,588618.2,0.0,0.0,0.0,
696,589.4798003164697,10.20135,,,,11.0,,,,,,,0.0,0.0,0.0,3077128.5,3322679.2,2157884.0,
279,590.3644795031698,7.372062700000001,,,,46.0,,,,,,,438614.7,409470.2,445622.38,0.0,0.0,0.0,
240,605.4230168118697,7.088964,,,,,,,,,,,0.0,0.0,0.0,424936.44,216554.72,397836.62,
667,613.4225132901811,9.624803,,,,34.0,,,,,,,0.0,0.0,0.0,6477231.0,8090862.0,7746319.0,
701,615.495212386464,10.212185,,,,11.0,,,,,,,0.0,0.0,0.0,914513.8,847147.75,969591.4,
514,617.4170308942279,8.292017999999999,,,,,,,,,,,0.0,0.0,0.0,285782.78,240920.62,367754.25,
167,629.3108983350177,5.990614,,,,,,,,,,,0.0,0.0,0.0,271733.2,434086.2,435374.4,
199,629.3109194068344,6.2443423,,,,,,,,,,,0.0,0.0,0.0,248855.86,411784.16,408828.3,
155,631.3265839461787,5.8790507000000005,,,,,,,,,,,0.0,0.0,0.0,821282.8,1050586.8,1042287.9,
111,649.3063315016408,5.2338123,,,,1.0,,,,,,,0.0,0.0,0.0,881551.06,1071198.9,1451975.6,
239,649.4492591009997,7.087152000000001,,,,,,,,,,,0.0,0.0,0.0,329316.28,162212.48,313677.72,
684,663.4534509872902,10.094956,,,,30.0,,,,,,,0.0,0.0,0.0,1552794.9,1568897.5,1554554.9,
112,666.333021191805,5.2338123,,,,1.0,,,,,,,0.0,0.0,0.0,802883.44,998123.44,1186714.6,
399,668.618185493262,7.7964934999999995,,,,,,,,,,,0.0,0.0,0.0,325896.25,131048.17,400592.38,
202,671.2879214941252,6.2532525,,,,,,,,,,,0.0,0.0,0.0,233972.44,219836.03,249598.16,
113,671.2884327471825,5.2355895,,,,1.0,,,,,,,0.0,0.0,0.0,9207097.0,10904982.0,13314125.0,
520,675.675410754002,8.348711999999999,,,,,,,,,,,0.0,0.0,0.0,422496.22,199077.45,288511.2,
685,685.4354246886459,10.094956,,,,30.0,,,,,,,0.0,0.0,0.0,14116750.0,15361326.0,13868548.0,
513,686.4768639328053,8.257319,,,,,,,,,,,2068160.9,1589625.2,1914983.0,0.0,0.0,0.0,
720,686.4769768656442,10.287312,,,,,,,,,,,353526.6,300552.16,372584.34,0.0,0.0,0.0,
80,689.2987457687532,4.503069,,,,,,,,,,,0.0,0.0,0.0,431136.62,553162.1,874201.06,
704,690.5060326357994,10.226674000000001,,,,,,,,,,,0.0,0.0,0.0,355409.12,366437.78,380627.47,
481,690.5064403516354,8.207577,,,,,,,,,,,0.0,0.0,0.0,1408355.6,3554107.8,1716797.9,
180,697.2628922420737,6.1017194,,,,8.0,,,,,,,0.0,0.0,0.0,2269270.2,882939.06,1110335.6,
547,698.9112654651482,8.616488,,,,,,,,,,,1131077.8,1153281.8,1024779.06,0.0,0.0,0.0,
686,708.5107988655681,10.094956,,,,30.0,,,,,,,0.0,0.0,0.0,797242.3,764150.0,780993.2,
489,712.4884094890966,8.22265,,,,,,,,,,,0.0,0.0,0.0,185058.81,1524847.8,564535.9,
303,716.5220917223219,7.371389999999999,,,,,,,,,,,0.0,0.0,0.0,1509334.6,258066.17,262936.12,
718,716.5229188259427,10.254291,,,,11.0,,,,,,,398835.34,392231.28,349226.34,2491337.8,2931099.2,1060819.6,
526,716.5229530657938,8.340258,,,,,,,,,,,160832.38,218124.61,102199.77,242027.98,2342433.8,439808.1,
477,716.5239125409531,8.044153999999999,,,,,,,,,,,2596375.0,2832868.0,2365674.8,0.0,0.0,0.0,
187,719.2449798451248,6.105232,,,,8.0,,,,,,,0.0,0.0,0.0,10464346.0,5666258.0,6753778.5,
687,726.4615888554732,10.094956,,,,30.0,,,,,,,0.0,0.0,0.0,1490331.4,1458831.4,1479277.5,
458,730.5377010511397,7.944832000000001,,,,,,,,,,,0.0,0.0,0.0,204582.55,2663547.5,203609.03,
683,736.5418309796329,10.093154,,,,,,,,,,,0.0,0.0,0.0,484503.8,445496.5,489708.22,
529,738.5037781420931,8.40622,,,,,,,,,,,0.0,0.0,0.0,189471.67,1407809.5,333868.6,
702,738.5037846431046,10.215808,,,,11.0,,,,,,,0.0,0.0,0.0,990230.25,1247813.9,1094689.1,
406,740.4044308812497,7.834749700000001,,,,,,,,,,,0.0,0.0,0.0,163949.23,519320.3,534845.44,
348,740.4044734195297,7.741695,,,,,,,,,,,0.0,0.0,0.0,376628.03,656183.7,731991.75,
682,743.6156025876448,10.035182,,,,,,,,,,,0.0,0.0,0.0,1158102.0,1837562.8,1080965.8,
493,752.5196738067709,8.217249,,,,24.0,,,,,,,0.0,0.0,0.0,443000.44,664969.75,639587.6,
467,752.5196827051898,7.8985553,,,,62.0,,,,,,,0.0,0.0,0.0,824222.5,5045745.5,733279.56,
680,771.6468139894628,10.027153,,,,,,,,,,,0.0,0.0,0.0,1932172.8,3348006.2,1818407.0,
440,780.5510345435048,7.8752059999999995,,,,62.0,,,,,,,0.0,0.0,0.0,586630.3,524300.3,463874.03,
