"MetaboAnalyst_ID","X2024_NEG_CC.Media_1_Run18.mzML","X2024_NEG_CC.Media_1_Run54.mzML","X2024_NEG_CC.Media_1_Run74.mzML","X2024_NEG_CC_1_Run21.mzML","X2024_NEG_CC_2_Run48.mzML","X2024_NEG_CC_3_Run62.mzML","shared_name"
"86/421.1867mz/4.15min",3.05900735318945,3.06063798446817,3.08125202435449,2.28180885454648,2.13508151425041,2.23951532202982,"86"
"87/603.01mz/4.17min",1.75411741557472,1.72707473441461,1.72767791768742,1.80569802519346,1.71874934020361,1.78445084025322,"87"
"88/419.0263mz/4.18min",1.71271844150317,1.68724504543275,1.67390165342099,1.7326200004449,1.69883201570656,1.71183524998186,"88"
"89/447.0213mz/4.21min",1.74480125092516,1.75393942203819,1.70233257652294,1.74857097176788,1.73016384914354,1.77091038154744,"89"
"90/263.0383mz/4.27min",1.77420055930761,1.77195776659004,1.74536747314516,1.75899915410192,1.75395388643225,1.76868389643575,"90"
"92/282.9837mz/4.4min",1.7766287608569,1.78594048244089,1.77064368937965,1.81711600526436,1.80467886329547,1.79774644864541,"92"
"93/242.1762mz/4.42min",1.86221578588114,1.89900337475154,1.84570802817401,1.92024972204132,1.91104829851778,1.933503410165,"93"
"94/497.0371mz/4.44min",2.16914630074173,2.17115377972469,2.15054576790919,2.23686556728597,2.19242095384012,2.25378178759241,"94"
"95/793.0186mz/4.49min",1.94728020748911,2.03144031665777,2.13482439000162,1.97952326062201,2.02647140967307,2.23229089047441,"95"
"99/341.0486mz/4.56min",2.09149609231694,2.08539562872576,2.07589154720022,2.12957479043618,2.07601452623995,2.12052409841895,"99"
"100/404.0444mz/4.56min",1.86367032384871,1.85562195515144,1.89263635650609,1.90204852187606,1.87614940989785,1.8686998132466,"100"
"101/422.9768mz/4.56min",2.11448046895024,2.11425795727638,2.10048071479953,2.15256257137731,2.1059408844597,2.13382987837659,"101"
"103/653.0255mz/4.57min",1.87985458805277,2.03280410703473,2.06974871807121,1.95914096055659,2.02565147000823,2.17461217799179,"103"
"106/497.0371mz/4.67min",2.29557067122054,2.38869760185838,2.38957710003516,2.33648340053553,2.37439519428273,2.52225129177688,"106"
"107/228.9699mz/4.74min",1.88854278841892,1.87693559051768,1.89756926062751,1.91135380459435,1.88812346291578,1.90925512127879,"107"
"109/229.9645mz/4.74min",2.9933973865487,2.98448459902837,2.99158049645414,2.99667218455787,3.00593556163578,2.995441740881,"109"
"110/230.9678mz/4.74min",1.90584583253624,1.9035726564884,1.89821418397249,1.89571618315711,1.90643426403842,1.89599386048877,"110"
"111/266.9888mz/4.76min",2.41904893018041,2.3967128794538,2.38463454884137,2.44570302686833,2.41507484235887,2.38537356319347,"111"
"112/268.9857mz/4.76min",1.93285678251318,1.91540360726619,1.89242818919609,1.97188401715866,1.9421200794054,1.90809405913303,"112"
"113/637.0305mz/4.78min",2.74671126627118,2.87766954434259,2.90411767002246,2.82098960372624,2.836385868991,2.99532613649596,"113"
"116/481.0421mz/4.92min",2.80575861190114,2.8681344678725,2.87291604418159,2.81817247472013,2.83945131362573,2.96048863898395,"116"
"117/544.0379mz/4.92min",2.39834137027702,2.4927768869298,2.51540232888814,2.41457563551378,2.44878289784029,2.581664141533,"117"
"118/426.9678mz/4.97min",3.1434749715497,3.19484012889563,3.15010925067536,3.24902266300021,3.25351595409649,3.23323982648814,"118"
"119/428.9624mz/4.97min",1.68737337248851,1.79902741291395,1.72259826590319,1.82360972707242,1.82845976575124,1.81375171307655,"119"
"120/396.2154mz/4.99min",1.23553243023506,1.25165355686536,1.24884367556987,2.17623256593829,1.95916762287178,2.13892687575492,"120"
"122/484.2681mz/5.03min",1.40801449196168,1.42413562299871,1.42132574095848,2.33527057459905,2.1316497439875,2.34603547231217,"122"
"125/396.2154mz/5.1min",1.74012537332443,1.75624650720748,1.75343662468627,2.65967328881255,2.46376066370577,2.69174945713746,"125"
"128/484.2681mz/5.14min",1.91060974993512,1.92673088424633,1.92392100165277,2.77571935818907,2.63424504608677,2.82686291088743,"128"
"129/501.2583mz/5.14min",1.19395158227745,1.21007270721093,1.2072628262022,2.05672036981456,1.91758675204634,2.12057083029516,"129"
"132/241.8989mz/5.28min",1.32059269856648,2.42823294323519,1.77033076043326,1.57704440898383,1.68612689855039,1.66226889747856,"132"
"135/424.2468mz/5.55min",1.20596890813262,1.22209003359031,1.21928015249298,2.12274755249822,1.92960408496623,2.12797679000646,"135"
"137/241.8989mz/5.59min",1.71603215060041,1.20825113455942,2.5730793263968,1.41904779357162,1.71195316659727,1.79508262706275,"137"
"140/424.2469mz/5.66min",1.81965576214421,1.83577689626866,1.83296701370666,2.70316434371531,2.54329105577888,2.7432445008144,"140"
"147/241.8989mz/5.96min",1.70277076034849,1.82041387968558,1.72124373098086,1.63716093486892,2.37879652148808,1.70729432842722,"147"
"150/265.1479mz/6.02min",1.9131152125793,2.11132066944499,1.85483736988314,1.98090208462597,1.56256984983149,1.88734319533849,"150"
"152/297.153mz/6.07min",1.8144352611896,2.06878395715166,1.85986092295716,1.81509688761863,1.27280975843346,1.6741178783897,"152"
"154/297.153mz/6.14min",1.73400649104276,1.91300585735166,1.80759979046576,1.73735044710062,1.53762876055571,1.61856751315402,"154"
"155/452.2782mz/6.13min",1.30467895073256,1.32080007955543,1.31799019788939,2.18600542535283,2.02831417291839,2.20970978449585,"155"
"158/452.2782mz/6.24min",2.07414863228846,2.09026976678962,2.08745988416395,2.96194131450833,2.79778393100005,2.98122099859147,"158"
"159/478.2939mz/6.3min",1.70347614617279,1.71959727991111,1.71678739741437,2.69872362020609,2.4271114346037,2.67060496664909,"159"
"160/540.3309mz/6.3min",1.39176415069223,1.40788528144693,1.40507539945441,2.20080215963507,2.11539939891319,2.26393480104089,"160"
