Filename,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML,NEG_TJGIp4_1_Run59.mzML,NEG_TJGIp4_2_Run88.mzML,NEG_TJGIp4_3_Run183.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
459/459.2825mz/3.78min,1660996.6,816735.06,2066135.4,4077578.8,2531788.8,3861399.5
460/305.1507mz/3.78min,385597.03,334343.66,230138.02,364754.06,320199.97,333431.34
461/159.1027mz/3.79min,143360.23,152849.64,72790.49,114927.79,243438.75,121487.71
462/207.0697mz/3.81min,120945.15,64573.2,81317.125,85936.984,107740.86,134895.33
463/412.1038mz/3.8min,563569.8,388808.38,631442.5,832869.25,664848.56,707008.06
464/395.0771mz/3.8min,45644.12,39805.91,70833.08,85252.9,136033.25,79063.23
465/287.1725mz/3.8min,2832481.2,2871348.0,2117066.8,3680514.0,3428876.8,2919338.8
466/226.1086mz/3.81min,611035.06,521322.62,451567.9,653738.94,554281.44,577882.94
467/236.0962mz/3.81min,631209.5,577858.2,346369.84,460641.88,613491.94,689878.94
468/456.2253mz/3.83min,101632.28,81463.125,110730.734,360403.25,355149.2,148745.44
469/273.0406mz/3.82min,15168.295,0.0,65166.793,66070.36,40184.62,50129.445
470/300.1452mz/3.81min,486398.16,309239.25,387434.72,236460.95,474956.25,428966.16
471/201.1133mz/3.83min,493488.94,413901.66,289748.06,297171.1,443590.0,414586.25
472/261.0769mz/3.83min,335013.8,338749.88,674415.56,1104577.4,1025847.44,1284720.8
473/330.062mz/3.83min,214545.17,132814.1,159777.8,282724.47,487129.62,453154.3
474/185.082mz/3.84min,2434548.0,1941219.4,1662337.2,2195861.5,3453336.0,3229442.5
475/141.0922mz/3.84min,404515.22,310088.8,266442.44,360568.12,535051.4,509996.7
476/227.129mz/3.84min,110812.44,87807.72,71429.414,83952.56,138125.55,116074.57
477/156.0667mz/3.84min,153856.88,124895.945,129001.92,137881.45,114409.516,150964.88
478/187.0976mz/3.83min,122632.44,55029.902,63517.137,87433.01,102476.805,539518.9
479/234.1136mz/3.85min,975217.3,857773.0,686721.1,1096806.5,867974.44,934928.5
480/305.1507mz/3.84min,219246.94,173093.2,216086.55,234636.19,303196.4,188029.02
481/225.1134mz/3.89min,98775.14,75809.33,139584.98,63194.85,100356.13,109598.64
482/554.2374mz/3.88min,315142.16,337900.34,197685.66,270758.6,289156.6,393890.1
483/202.0511mz/3.91min,337996.66,305225.2,265294.56,354426.8,322679.1,334422.1
485/179.0714mz/3.92min,1285838.1,897921.75,883982.2,1076462.5,1645046.6,1302950.1
486/596.2846mz/3.92min,2246540.2,2519948.2,1443915.8,1588508.2,1974246.5,2465263.0
487/213.0154mz/3.93min,536141.56,663260.6,644371.2,579116.1,616824.94,551880.4
488/186.1136mz/3.93min,190415.22,124052.734,203113.39,163803.53,219452.14,255820.75
489/272.0929mz/3.93min,260213.81,204460.05,240887.62,364222.72,347088.1,371111.47
490/141.0921mz/3.95min,426432.84,384088.78,258584.31,381698.34,652007.8,560974.2
491/271.1664mz/3.95min,116583.734,82034.45,82892.9,108202.914,106980.93,97668.33
492/187.0976mz/3.95min,201061.94,156588.23,100271.37,220479.12,139659.73,138593.86
493/259.0612mz/3.95min,117344.41,0.0,35201.45,72941.836,71042.16,76985.99
494/261.0769mz/3.96min,715371.4,653693.44,1056053.8,2075538.0,2127058.8,2156371.0
495/245.0456mz/3.96min,598971.7,486009.72,655576.4,955939.75,790963.44,775175.7
497/225.1133mz/3.98min,1081272.2,942487.44,867684.56,941499.9,1343717.5,1187801.4
499/275.0562mz/3.99min,430495.1,41718.086,494872.94,253846.55,102059.91,177435.12
500/171.1027mz/4.01min,386347.72,291535.16,238132.98,253025.81,323843.3,304723.44
501/425.1962mz/4.02min,433933.9,256515.44,259048.7,654886.6,492745.28,237053.4
503/511.1949mz/4.02min,3168483.5,3185530.2,2048081.6,2405116.5,2949545.0,2829867.2
504/243.1238mz/4.02min,75820.734,110469.85,28637.982,36308.895,63561.09,53361.23
505/214.1085mz/4.03min,415844.34,320417.72,286090.16,476352.78,392920.8,392872.5
506/200.1293mz/4.03min,971982.6,715876.56,604431.06,990101.9,1080584.0,1073276.2
507/165.0557mz/4.05min,775749.44,514503.47,706354.5,790135.7,782873.0,660664.7
508/255.1351mz/4.08min,62599.754,38407.37,40815.57,35918.906,38165.848,39095.85
509/538.2425mz/4.07min,657198.0,707060.56,376199.72,600949.0,567810.8,767639.4
510/159.1027mz/4.07min,814895.4,607989.5,530114.7,1086903.4,762427.3,967397.6
511/151.0261mz/4.08min,215534.12,197108.16,148572.16,239756.17,257023.02,212774.11
512/301.1657mz/4.08min,94534.7,116092.555,58535.656,56397.297,54335.324,79673.336
513/214.1449mz/4.1min,547390.3,475814.6,393918.44,778601.1,706567.56,732892.9
514/395.0771mz/4.1min,372777.72,332727.4,519258.4,485512.34,720555.2,540300.5
517/487.2772mz/4.12min,730822.9,335937.94,906879.6,1089385.0,717179.0,1325459.8
518/580.2894mz/4.12min,4491970.0,5240246.5,3011289.2,3712780.2,3973438.8,4974572.5
519/598.2998mz/4.12min,734006.8,892922.44,477169.0,605631.25,654681.44,826392.8
520/210.0924mz/4.13min,686716.6,558453.0,431410.62,492568.6,513048.4,513900.22
521/225.1132mz/4.13min,424151.62,363980.66,334526.03,393036.88,566375.5,451755.03
524/596.2845mz/4.14min,74117.33,101894.16,29199.02,35374.39,66435.664,85591.89
526/300.0877mz/4.15min,6528659.5,5101125.5,6517651.0,9334975.0,8456681.0,9114147.0
527/601.1827mz/4.15min,93278.99,91381.53,155117.61,197644.16,204882.14,248720.47
528/380.0445mz/4.14min,306246.1,191952.28,256989.98,423835.7,312932.3,367310.28
529/258.077mz/4.15min,44801.004,34180.066,44619.992,63236.08,57224.43,67273.92
531/336.0644mz/4.15min,348699.38,115990.516,145075.48,478610.94,308388.34,236049.83
532/301.1654mz/4.15min,537135.94,705878.7,398352.47,411121.47,440776.88,480338.6
533/589.278mz/4.18min,97773.02,104985.27,151278.95,504359.03,268227.75,124405.08
535/215.1288mz/4.18min,1491592.4,1382948.0,1042827.44,885116.44,1327716.8,1498982.0
536/566.2371mz/4.21min,399261.28,441553.62,293483.88,271030.62,403386.38,511318.2
538/228.1242mz/4.21min,95545.125,57790.656,177233.19,74253.76,145511.28,146485.31
