"","filter","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp3_1_Run41.mzML","NEG_TJGIp3_2_Run127.mzML","NEG_TJGIp3_3_Run165.mzML"
"156/257.103mz/3.45min",573579.13,906718.8,811688.1,1030088.5,306697.8,224936.47,335470.16
"157/125.0971mz/3.45min",705281.37,1031570.2,917931.3,1027148.06,492631.44,367678.75,450820.75
"158/187.0976mz/3.45min",20459241,29062086,26374946,30158918,14543536,11606839,13439055
"159/209.0795mz/3.45min",1191597.15,1446741.8,1565304.4,1710789.1,843142.9,826579.94,936452.5
"160/145.087mz/3.45min",299573.99,278626.1,250044.22,255005.42,497911.8,320521.88,399101
"162/213.1132mz/3.45min",91993.519,170086.55,147835.2,142121.6,41865.438,20994.832,38988.25
"163/313.1881mz/3.47min",400928.985,485710.5,496480.34,607169.6,316147.47,219925.44,300243.78
"164/228.103mz/3.47min",2562262.8,2976978.5,2752322.8,2778229.8,2372202.8,2000590.2,2102668.5
"165/191.0747mz/3.47min",155247.715,166395.66,144099.77,182464.17,186264.11,115334.56,141848.7
"166/173.082mz/3.52min",24943.882,27701.596,27141.674,30011,22746.09,4321.274,17354.39
"167/145.0871mz/3.54min",447989.23,457289.84,414957.6,438688.62,541525.25,424932.34,513548.97
"168/144.0456mz/3.57min",44575.1065,28406.576,5681.3152,5681.3152,60743.637,194667.16,232912.11
"169/222.0773mz/3.57min",322286.81,376353.28,372393.34,429230.84,272180.28,239515.8,249250.81
"170/243.1238mz/3.57min",1193389.05,1434981.1,1492608,1771047,948865.8,760584.1,951797
"171/271.1665mz/3.6min",835066.575,1039833.4,972125.9,1134186.9,698007.25,505306.47,642716.6
"172/211.134mz/3.6min",29148.218,41913.113,35089.12,44577.61,23207.316,3093.5738,15467.869
"173/191.0748mz/3.61min",600721.75,648927.94,542563,645950.06,736692.25,467775.44,555493.44
"178/285.182mz/3.69min",3329619.6,3884577.8,3473514.2,4016421.5,3185725,2104127.8,2594746
"179/621.3353mz/3.71min",133000.29,146460.92,80647.77,97964.55,119539.66,156797.34,235211.47
"180/571.3712mz/3.69min",24610.828,27117.176,33756.527,44337.03,22104.48,3928.621,19643.105
"181/155.1078mz/3.69min",4659543.5,4763099.5,4346834,4934247,4555987.5,4397225,5186693.5
"182/199.0976mz/3.69min",12837695,13125033,12379448,14004434,12550357,12395096,14653274
"183/221.0795mz/3.69min",1014850.45,829408.2,974040.3,1090322.9,846859.56,1055660.6,1181729.2
"184/228.0666mz/3.71min",538858.54,613693.8,645275.2,671936.56,464023.28,433605.34,427709.44
