"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-TJGIp4_1_Run183.mzML","2024_NEG_Anid-TJGIp4_2_Run212.mzML","2024_NEG_Anid-TJGIp4_3_Run233.mzML"
"604/225.0556mz/3.2min",87831.282,403895.5,414517.66,29277.094,29277.094,146385.47,29277.094
"605/289.0616mz/3.2min",209042.418,906969,956487.25,69680.806,69680.806,348404.03,69680.806
"606/243.0663mz/3.2min",1483240.5415,7766097.5,7320309.5,3963.0076,63991.883,2902489.2,792.60152
"607/287.0562mz/3.2min",10191003.53,47678100,49730668,303958.8,760315.06,19621692,60791.76
"608/244.0685mz/3.19min",221919.815,996182.06,871248.75,106445.25,59488.54,337394.38,82950.9
"609/372.0334mz/3.19min",157873.236,538363.75,408587.3,52624.412,52624.412,263122.06,52624.412
"610/597.1018mz/3.2min",42212.1984,402185.88,342588.7,14070.7328,14070.7328,70353.664,14070.7328
"611/252.0877mz/3.18min",81287.13,120879.6,69500.48,169236,93073.78,27527.121,59556.516
"612/210.0771mz/3.21min",125837.362,40122.05,96764.266,204524,157698.02,146847.56,104827.164
"614/315.1563mz/3.22min",63886.1785,26405.873,25862.16,261351.6,154819.06,101366.484,5172.432
"615/196.9761mz/3.22min",638409.2,686877.56,735959.2,616136.6,452196.25,660681.8,605577.5
"617/188.0353mz/3.22min",136402.04,105893.06,126187.92,354198,308505.4,146616.16,54016.562
"618/209.0456mz/3.22min",121097.65,15595.273,19556.46,222638.84,613615.5,424882.47,3119.0546
"619/206.0822mz/3.23min",252679.345,600376.5,821504.6,207092.89,82496.14,99917.33,298265.8
"621/306.9474mz/3.23min",894173.2,665292.2,972686.3,1305983.4,935575.7,852770.7,151477.3
"622/245.0125mz/3.24min",86992.689,62130.188,38775.54,429342.62,212734.25,111855.19,7755.108
"623/569.283mz/3.25min",483103.345,240333.75,183647.94,1379735.4,725872.94,857237.25,72546.33
"625/585.278mz/3.25min",1245233.3,1821063.6,1469769.4,1381900.2,923130.25,1108566.4,544413.9
"626/242.0457mz/3.24min",116998.66,204705.69,83024.76,978658.44,90453.05,143544.27,16604.952
"627/280.0827mz/3.22min",40611.785,31971.062,49252.508,378014.62,66651.19,31539.717,11091.174
"628/271.1663mz/3.26min",18141.829,7881.0337,15942.418,198160.4,29080.771,20341.24,1576.20674
"629/334.1621mz/3.26min",11002.33,1547.0234,7735.117,144796.5,30504.844,14269.543,1547.0234
"631/295.1018mz/3.27min",85177.795,35211.45,47302.426,389196.25,123053.164,430638.12,7042.29
"633/221.0819mz/3.28min",8588.6016,8588.6016,8588.6016,8588.6016,165662.14,42943.008,8588.6016
"634/294.0984mz/3.27min",714544.19,318096.38,423499.44,2657998.2,1005588.94,2983227,63619.276
"635/167.035mz/3.25min",474126.11,835019,450337.72,226204.89,497914.5,1419618,8779.59
"636/293.0668mz/3.27min",37037.922,12345.974,12345.974,61729.87,1863090.1,727857.2,12345.974
"637/380.0621mz/3.28min",233829.1,720452.2,814792.56,254061.8,213596.4,178404.89,35680.978
"638/349.1403mz/3.28min",223696.985,213520.9,372754.84,319419.5,218593.83,228800.14,123979.81
"639/225.0405mz/3.28min",33718.152,11239.384,11239.384,56196.92,122274.914,164180.16,11239.384
"640/317.0668mz/3.28min",95780.885,333864.75,431948.1,112225.53,79336.24,65359.863,13071.9726
"645/268.0616mz/3.3min",35185.566,259903.55,302270.03,11728.522,11728.522,58642.61,11728.522
"647/246.0966mz/3.3min",218769.07,278131.62,376234.88,281281.78,138832.22,159406.52,98536.19
"648/245.0932mz/3.3min",1581475,2046007.9,2813407.8,1985938.5,1017267.8,1177011.5,744024.9
"649/171.0663mz/3.37min",443594.22,384187.72,438868.84,1239833.4,724432.4,448319.6,130205.85
"650/214.1084mz/3.31min",23111.108,23111.108,23111.108,115555.54,23111.108,23111.108,23111.108
"651/301.1406mz/3.32min",77596.71,82620.23,165394.64,146594.66,26023.639,72573.19,26346.275
"654/541.1829mz/3.35min",8412.0508,8412.0508,8412.0508,8412.0508,131942.52,42060.254,8412.0508
"655/282.0806mz/3.35min",115477.945,159039.56,329140.7,71916.33,63719.664,40562.094,314219.8
"656/280.0827mz/3.3min",21851.539,23462.164,20240.914,202041.12,27195.637,7966.1,1593.22
"657/178.051mz/3.36min",657893.68,628503.3,1274984.8,1794339.4,615143.25,687284.06,318349.38
"659/180.0666mz/3.36min",749574.9,762588.5,736561.3,4755003,1284221.5,667394.44,21527.45
"660/457.2304mz/3.36min",57050.7,30716.89,19424.79,99744.42,83384.51,101619.42,3884.958
"661/275.0562mz/3.37min",146112.54,176374.48,52394.832,115850.6,366245.72,1433305.2,10478.9664
"662/181.0508mz/3.37min",629976.08,522583.56,572242.06,1721978.1,705524,687710.1,398487.88
"664/186.9803mz/3.39min",87231.348,29077.116,29077.116,371821.1,427050.94,145385.58,29077.116
"666/461.0725mz/3.4min",70202.034,23400.678,23400.678,429734.22,338915.4,117003.39,23400.678
"667/238.0873mz/3.39min",284025.28,264409.5,407540.12,408705.16,154690.48,303641.06,30938.096
"668/144.0455mz/3.39min",43094.55,43290.07,86995.016,73654.87,29492.23,15745.256,42899.03
"669/252.0878mz/3.39min",260814.135,283313.88,383908.3,901195.1,238314.39,219240.08,68920.75
"670/421.0056mz/3.4min",1760999.95,1770611.1,1445896.1,1502365.4,1786606.8,1751388.8,1960301.6
"671/236.0928mz/3.41min",755766.175,706986.1,961614.4,597501,804546.25,554019.6,1355300.8
"672/377.1351mz/3.41min",114634.15,70229.08,173369.62,140127.7,122252.03,94897.28,107016.27
"673/164.0353mz/3.41min",36277.068,36277.068,36277.068,181385.34,36277.068,36277.068,36277.068
"674/356.0385mz/3.41min",17905.926,89529.63,98658.37,17905.926,17905.926,17905.926,17905.926
"675/282.0984mz/3.44min",25413.444,22160.781,28179.232,14177.594,41608.824,22647.656,1768894.4
"676/271.0612mz/3.42min",3456274.81,30608820,39210100,386608.12,190279.38,6525941.5,38055.876
"677/543.1299mz/3.42min",127688.772,3499970,5033480.5,42562.924,42562.924,212814.62,42562.924
"680/272.0234mz/3.42min",1108.95624,1108.95624,1108.95624,79948.21,5544.7812,1108.95624,1108.95624
"681/214.1084mz/3.45min",8256.8365,7369.962,19572.047,107959.734,9143.711,996.9582,4984.791
"682/283.1299mz/3.44min",243776.315,238188.66,292062.3,309969.56,232057.44,249363.97,202715.69
"684/331.0461mz/3.44min",130376.904,364159.44,555473.4,43458.968,43458.968,217294.84,43458.968
"690/349.1403mz/3.45min",91167.705,84316.24,139175.2,117687.766,94303.55,88031.86,70542.25
"693/245.0455mz/3.47min",1574589.25,1552821,1457026.1,1692178.2,1897144.4,1596357.5,18705.715
"694/289.0354mz/3.47min",425416.485,389939.25,440542.53,464219.4,480296.75,410290.44,77987.85
"695/246.0488mz/3.47min",209777.78,208123.39,182221.19,211432.17,258558.06,212476.03,36444.238
"696/258.0984mz/3.47min",93512.1,113013.01,161863.53,74011.19,67784.11,40552.688,132280.92
"697/271.1664mz/3.48min",131606.3,125515.74,154562.3,776838.56,137696.86,71206.25,14241.25
"698/193.0506mz/3.48min",828894.575,127677.484,160614.05,1563613.4,1497175.1,1965478.4,25535.4968
"699/334.1622mz/3.48min",88932.405,84768.3,93096.51,479161.62,96917.234,41345.53,8269.106
"700/194.0458mz/3.48min",270367.32,247919.08,292815.56,1307001.6,376291.97,196196.92,39239.384
"705/412.9526mz/3.49min",6152.3984,30761.992,103420.266,6152.3984,6152.3984,6152.3984,6152.3984
"706/249.0227mz/3.49min",2889991.75,2805090,2361960.5,2507378,2991818,2974893.5,3542368.2
"709/413.0875mz/3.5min",17143.8792,4531.4614,906.29228,132681.62,29756.297,54016.78,906.29228
"710/517.0988mz/3.54min",1967.9476,1967.9476,1967.9476,242695.86,9839.738,1967.9476,1967.9476
"711/214.051mz/3.5min",1571491.25,1522317.4,2270069.8,1945111.5,1503326.4,1620665.1,1374445.8
"712/137.0244mz/3.5min",161124.075,160396.75,168096.17,112370.9,126582.984,161851.4,185899.5
"714/315.1562mz/3.51min",135752.82,150572.03,250930.55,149561.03,88065.27,121944.61,80696.33
"715/196.0615mz/3.53min",57711.169,130434.09,98821,60957.348,4212.3623,34283.453,54464.99
"716/262.9211mz/3.52min",525309.85,462225.88,536234.1,784695.75,603769,514385.6,355708.53
"717/279.9958mz/3.52min",12790379,14546415,11035346,10763604,12623581,12957177,14422647
"719/433.104mz/3.53min",80596.408,84415.086,15355.546,404014.2,76777.73,185117.22,15355.546
"720/560.9991mz/3.52min",1895325.6,1928417.1,1665537.8,1798745,1865979.6,1924671.6,2282461.8
