Filename,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML,NEG_D5-211-C2-a_Run119.mzML,NEG_D5-211-C2-b_Run122.mzML,NEG_D5-211-C2-c_Run125.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
486/395.3892mz/10.01min,502104.6,583497.7,627536.0,441826.4,395047.28,395212.88
488/124.0015mz/10.02min,549267.75,512205.2,605635.56,1017405.4,1136299.6,1000626.9
489/101.9809mz/10.01min,797763.75,863306.3,924293.7,1264519.9,1310188.6,1219691.8
490/248.9604mz/10.17min,2323958.5,2291729.0,2278506.0,1480415.8,1588866.5,1558472.9
493/134.8651mz/10.16min,477500.56,685336.3,471201.84,449465.84,798626.94,792873.56
496/132.8678mz/10.17min,703421.9,989818.3,632843.9,1078696.5,1101664.5,1059706.8
498/102.9568mz/10.18min,720023.6,667270.6,689183.7,940562.7,1472009.5,952697.94
500/112.9857mz/10.19min,14949405.0,13456978.0,14138198.0,12917946.0,13063566.0,12486613.0
501/180.9729mz/10.18min,1489377.1,1406167.0,1498833.6,765413.5,786522.3,745399.75
503/384.9352mz/10.23min,1081785.8,1102557.4,1057160.6,214236.03,205609.34,204671.4
504/452.9226mz/10.22min,812062.25,822606.6,775885.44,43807.555,117610.78,128473.51
505/316.9477mz/10.2min,1921094.4,1952850.8,1887839.6,520771.47,659976.9,652368.06
506/520.9099mz/10.23min,452799.6,553720.9,417558.75,38397.9,36916.992,32254.951
507/805.4875mz/10.23min,0.0,0.0,0.0,1020927.9,896992.3,802652.6
508/807.5036mz/10.26min,397334.03,304603.56,127820.64,2101740.5,2078202.4,2287982.5
509/863.5659mz/10.26min,0.0,0.0,2018060.6,2432452.8,2706815.5,2707923.5
510/387.1142mz/10.26min,10655.934,3965.0945,0.0,68408.06,81253.66,84118.73
511/835.5352mz/10.27min,5521989.5,4774478.5,3830914.5,4944470.5,4603229.0,4714708.0
512/599.3204mz/10.31min,1086160.2,1259401.1,1063285.5,212377.16,180793.4,234585.0
514/716.5242mz/10.33min,298438.88,501864.88,473861.25,1873094.9,1945371.0,1681410.0
515/118.9241mz/10.34min,497319.1,491727.12,509275.03,488782.0,488444.84,481970.8
516/802.5613mz/10.35min,96894.516,62407.383,81924.945,574398.56,349739.9,554931.25
517/192.9287mz/10.36min,801989.94,703814.7,665910.75,529695.4,531210.94,532635.3
518/126.8809mz/10.42min,611933.7,536834.94,483354.47,1143205.9,1150807.8,1152424.0
519/170.8708mz/10.42min,465038.6,399754.75,363640.38,839720.9,871025.25,861225.9
521/136.8629mz/10.42min,1607167.6,1531360.4,1473447.9,1678442.8,1707836.9,1721629.8
522/132.8678mz/10.42min,5175647.0,4993884.5,4769448.5,5432943.5,5497826.0,5487028.5
523/134.8655mz/10.42min,5224848.5,5058802.5,4781598.0,5677622.5,5695522.0,5759891.5
524/160.8421mz/10.44min,2724201.2,2440695.8,2261991.2,6464879.0,6461880.5,6450884.5
525/162.8391mz/10.44min,2555224.5,2298828.2,2123792.2,6039803.0,6054613.5,6044868.5
526/164.836mz/10.44min,757080.3,665122.94,616885.0,1826871.5,1844143.9,1836496.8
527/199.8049mz/10.45min,171585.83,168610.95,161810.27,369922.94,335506.2,333035.3
528/195.8108mz/10.45min,292915.34,297769.4,278063.44,638839.56,583833.94,594465.5
529/205.8396mz/10.45min,1076954.5,1025870.0,964289.9,1457778.9,1447946.8,1406919.1
530/197.8079mz/10.45min,379951.72,382679.12,348938.44,803078.44,751924.56,751303.9
531/207.8367mz/10.45min,1018436.75,975646.94,909181.7,1403329.9,1389093.2,1334409.1
532/189.858mz/10.49min,407007.9,362578.6,335698.7,1222747.4,1258091.0,1236979.6
533/187.861mz/10.49min,880041.7,597188.3,549222.1,2116167.5,2104608.2,2084418.4
535/174.956mz/10.54min,14942844.0,15257343.0,14932236.0,15122670.0,15016483.0,13992967.0
536/191.9462mz/10.54min,2680130.5,2979515.0,3063358.0,2325530.0,3100919.5,2579015.2
