Filename,2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-p12_1_Run94.mzML,2024_POS_Y-p12_2_Run111.mzML,2024_POS_Y-p12_3_Run132.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
510/391.171mz/2.95min,385924.56,518623.0,1347749.6,547253.6,378472.28,363791.38
512/195.1128mz/2.95min,172300.67,184623.42,680474.5,173671.66,256329.69,320010.84
513/183.0916mz/2.97min,712750.0,704200.7,1220870.0,599934.3,615356.75,557473.2
514/340.1026mz/2.98min,1210571.6,1343384.5,3182155.8,1362303.9,1186368.9,1185489.4
516/294.0608mz/3.0min,220183.47,257988.33,599380.0,248208.53,220727.53,224760.22
517/312.0713mz/3.0min,1594726.0,1809190.9,4077007.8,1803428.6,1569868.6,1586185.4
518/334.0533mz/3.0min,230010.66,273580.53,551105.56,272491.38,237302.17,242882.72
519/153.1022mz/3.05min,24741.316,36283.87,267425.75,69224.27,52065.562,60884.395
521/231.1703mz/3.07min,1685726.4,1807092.1,4376882.5,1876022.8,1547715.1,1475032.1
522/232.1736mz/3.08min,191033.78,192301.48,495349.72,214758.22,171980.6,156434.89
523/213.0733mz/3.13min,259743.42,279857.2,451699.3,173092.05,146749.11,196410.23
524/267.1126mz/3.16min,32303.2,35546.62,94252.2,33836.914,28158.104,28284.908
526/208.0968mz/3.23min,90045.88,83254.234,178678.9,100161.56,73373.74,68877.85
527/260.1127mz/3.25min,5937.0767,0.0,45518.42,11431.195,0.0,0.0
528/288.1075mz/3.25min,33458.15,37812.816,184018.23,48053.8,27738.695,37769.992
529/427.1686mz/3.27min,215081.16,233126.17,627178.1,236102.4,200519.19,193947.34
530/405.1865mz/3.28min,2314971.2,2437028.2,5116544.5,2483383.8,2166287.5,2102403.8
531/320.1703mz/3.29min,40994.156,53611.17,55482.746,35720.77,45146.523,37651.914
532/240.0866mz/3.34min,616992.4,673278.6,1410242.0,670458.1,578820.4,499683.5
533/245.1859mz/3.36min,402274.28,443927.38,1059616.8,457512.5,341995.56,361389.16
534/182.1903mz/3.37min,469717.53,419933.2,636096.75,327281.5,364537.34,325723.84
535/195.1128mz/3.37min,94200.91,128430.42,568688.1,148156.95,143980.86,191482.72
536/217.107mz/3.43min,377281.94,414014.1,378309.78,260859.5,303844.34,227964.98
537/196.0968mz/3.47min,918565.94,903271.0,1321664.0,656307.4,600903.94,427067.75
538/246.1699mz/3.48min,261324.25,260021.06,238432.08,236321.3,241003.67,232207.3
539/228.2321mz/3.48min,524046.22,508544.84,668825.25,395845.25,505693.28,454878.0
540/208.0968mz/3.52min,69050.11,80631.77,120335.8,63246.082,59123.188,57703.11
541/402.2485mz/3.52min,61869.062,74944.766,132270.55,64950.25,57410.73,54850.22
543/213.1597mz/3.53min,506720.53,561148.06,1222449.1,493816.8,522198.16,492869.53
544/274.1648mz/3.54min,884340.7,887527.9,860537.8,847145.6,849983.75,841816.5
545/419.2022mz/3.55min,583275.5,629696.2,1538330.1,644367.0,556638.25,443525.75
546/228.2321mz/3.56min,194626.83,175478.92,261411.95,137804.47,171687.77,147357.6
548/210.1124mz/3.6min,321473.9,344293.25,563310.7,293855.22,269518.62,272111.06
549/224.0917mz/3.62min,47538.84,68931.69,227577.92,83389.35,78706.87,71258.12
551/228.2321mz/3.67min,2663886.2,2698654.8,3458397.5,1991317.5,2477742.0,2179381.2
552/246.1699mz/3.69min,225424.4,230531.92,201745.98,221136.02,210157.77,209648.62
553/182.1903mz/3.68min,50017.29,44128.832,62018.53,28726.418,24337.596,34183.574
554/235.0865mz/3.7min,301022.53,325772.3,418694.75,221388.8,240568.75,209198.78
555/402.2484mz/3.64min,250200.86,332562.66,488374.66,289197.28,258841.61,267276.97
556/591.2257mz/3.72min,327483.28,225086.5,283829.16,124440.79,236449.19,228057.75
557/586.2703mz/3.72min,1540216.4,1004335.56,1335931.8,548972.06,1007574.2,1056350.1
558/320.1703mz/3.75min,71037.47,70257.914,59118.695,41016.812,62382.465,59759.176
559/195.138mz/3.83min,106271.484,109143.35,105776.21,139409.42,103913.09,99895.87
560/233.0784mz/3.84min,568200.06,518698.22,479241.47,474456.78,461241.06,349181.03
