row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,
151,117.01934613279029,0.9817174,,,,,,,,,,,289873.72,153276.36,340763.0,97182.266,139137.72,47540.414,
145,117.01934627495318,0.91063863,,,,,,,,,,,134086.98,251663.45,322305.3,173850.6,122204.36,582695.0,
159,117.0193485766563,1.1938363,,,,,,,,,,,35614.805,4237.9297,36611.676,50081.453,105887.31,143710.72,
157,117.01936234108825,1.1295257,,,,,,,,,,,47812.938,58055.11,92535.27,111410.375,144229.86,179339.77,
1811,117.91899725983922,8.13743,,,,,,,,,,,591590.5,714148.25,944869.75,463492.5,429627.56,4919034.0,
1883,117.92854548384122,8.13837,,,,,,,,,,,1737578.2,8634210.0,2575524.0,1477328.6,1656399.1,2083135.2,
1654,117.92857400992433,7.688249,,,,146,,,,,,,5352075.5,2706657.0,5439434.0,2277671.0,4612034.0,4704675.5,
115,118.02264417942014,0.64079756,,,,,,,,,,,532790.94,673833.75,1135171.5,532250.75,1891372.5,332221.53,
84,118.02274054328046,0.43665454,,,,,,,,,,,212932.64,182636.72,264314.62,293572.72,219150.0,286514.3,
111,118.0508872187646,0.58208376,,,,,,,,,,,470282.38,1690112.1,1681579.1,3265615.5,3184347.2,7658954.0,
21,118.05092325591461,0.3659974,,,,10,,,,,,,5.1751064E7,4.560421E7,1.2966477E8,4.740416E7,1.03320536E8,6.6408636E7,
266,118.05094379229074,2.8127367,,,,,,,,,,,21806.055,308257.38,70652.54,106971.2,72102.72,56635.184,
818,118.05095043486203,5.559763,,,,,,,,,,,181183.1,173216.81,120830.28,174424.6,133258.8,337173.5,
180,118.05098223584662,2.2407153,,,,,,,,,,,649110.5,18882.148,100245.31,1563929.5,259284.3,121487.51,
149,118.05098408787289,0.9410274,,,,,,,,,,,686836.4,394506.22,338905.28,196443.84,780383.44,1119989.1,
156,118.05099874568116,1.0727639,,,,,,,,,,,61320.633,235485.98,428940.16,303577.16,534648.2,399167.38,
2043,118.89961652625404,10.153325,,,,,,,,,,,186322.97,1564533.4,126743.71,493111.06,104678.35,215933.22,
1588,118.92675924208834,7.685865,,,,,,,,,,,624544.1,403444.38,1354146.5,394498.2,654323.75,630209.06,
96,119.03481742038004,0.47582403,,,,,,,,,,,468954.03,779068.2,215559.0,433169.1,1256464.4,481646.3,
51,119.03481877428065,0.37951675,,,,10,,,,,,,1006244.4,958086.44,1418112.4,1748459.1,1685472.2,1002864.7,
25,119.05414952258297,0.3674835,,,,,,,,,,,1048855.0,1449508.4,5723089.5,1806176.1,3467365.8,2911700.0,
313,120.04543516420097,3.0520916,,,,161,,,,,,,490137.9,564099.25,452741.12,616386.56,844727.25,589460.6,
104,122.02466493254197,0.5275424,,,,,,,,,,,2307491.2,2713289.5,4932402.0,3159792.0,5392305.5,1961641.2,
896,122.02468056406714,5.793901,,,,182,,,,,,,218883.02,202420.11,257946.08,217840.86,301961.16,241209.17,
451,123.08157842130804,3.8344858,,,,39,,,,,,,171493.62,236580.98,145322.75,356947.12,464849.66,415016.84,
132,125.03561135240291,0.78342676,,,,,,,,,,,447221.1,344859.94,1389203.8,384821.72,1720018.8,461334.97,
387,125.09716019064827,3.44892,,,,37,,,,,,,984737.7,1250062.8,864458.7,1555940.5,1650706.9,1765749.0,
208,126.00188427954846,2.5026689,,,,110,,,,,,,498238.84,526087.6,656017.5,587894.75,612295.1,526371.94,
66,128.03523461783988,0.384799,,,,10,,,,,,,4504108.0,4412549.0,9211090.0,4758091.5,5606848.0,4902915.0,
110,128.03528532758645,0.6069912,,,,156,,,,,,,4957267.0,5043209.5,7772335.5,4898502.5,8667223.0,7380236.5,
152,128.0353375013725,0.98353857,,,,,,,,,,,324764.28,17561.922,64485.008,81148.51,63938.86,275034.44,
123,130.05093327248983,0.7193477,,,,147,,,,,,,3716562.0,4524649.0,4354453.0,3455266.0,6327654.5,2158905.2,
567,130.05096337508368,4.5511127,,,,119,,,,,,,30584.926,30418.488,24231.443,57147.805,52068.645,46711.69,
126,130.08724784729404,0.7532235,,,,169,,,,,,,5655065.0,6990702.5,9426162.0,7829993.5,1.3378408E7,8779464.0,
296,130.08727153732653,2.9528034,,,,98,,,,,,,1438083.1,1686441.1,1397472.9,1569866.4,1883292.9,2646510.2,
279,130.08727980928876,2.911845,,,,57,,,,,,,1059819.4,1443396.0,1174779.0,1724870.0,1740950.2,1478939.8,
146,130.08729662760334,0.88427705,,,,,,,,,,,121646.09,197723.2,262674.62,117392.06,438342.25,333238.78,
224,130.08730952888644,2.651799,,,,,,,,,,,2402479.8,2964133.0,2596846.0,2741914.0,2836098.0,2667096.2,
428,130.0873319000601,3.739703,,,,152,,,,,,,180735.4,92081.375,60799.613,111340.55,98660.484,125732.97,
360,130.08736951104171,3.3540308,,,,,,,,,,,206066.44,105596.37,91241.06,96922.56,166109.83,132030.52,
253,131.0713060213277,2.7775214,,,,118,,,,,,,2287156.5,2635607.2,2581735.0,2282231.5,1931834.8,1289904.0,
