row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp11_3_Run150.mzML Peak area,NEG_TJGIp11_2_Run124.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp11_1_Run26.mzML Peak area,Unnamed: 19
1211,628.3482451054539,5.444630999999999,,,,15.0,,,,,,,851176.44,669641.25,582559.6,559698.7,499171.78,789919.1,
3113,628.5079870652243,9.543452,,,,82.0,,,,,,,373991.34,85228.07,1523462.0,218656.1,2244807.2,3568000.0,
1057,629.3513516396771,5.253123,,,,8.0,,,,,,,482555.34,419061.9,787639.0,624607.25,541920.06,1359488.8,
1132,629.3514220579438,5.3473167,,,,21.0,,,,,,,392186.44,343783.5,307633.16,269965.22,804217.5,783882.3,
3114,629.5113561737626,9.540696,,,,82.0,,,,,,,139888.48,3439.4179999999997,694821.44,70770.664,998095.75,1616842.5,
1533,630.3633392673522,6.1084456,,,,,,,,,,,100392.875,91966.586,160118.58,161973.8,369027.0,309003.1,
1699,630.3634540009352,6.5588546,,,,,,,,,,,21588.18,42008.39,381053.7,148045.56,476169.3,889757.5,
1429,630.3638537037115,5.9279637,,,,53.0,,,,,,,593501.9,387024.78,409834.9,772590.25,956302.5,1758169.8,
1340,630.3641013648136,5.708563,,,,44.0,,,,,,,18120548.0,17057934.0,24932906.0,26885684.0,51930332.0,52447764.0,
1551,630.3865832357515,6.158296599999999,,,,,,,,,,,268791.75,287738.25,179261.83,162505.44,325676.34,185895.8,
1004,632.3428422123399,5.2528706,,,,,,,,,,,199359.84,167243.0,166084.86,158130.84,118335.37,243171.7,
3097,632.3655791408897,9.570506,,,,,,,,,,,0.0,0.0,37579.03,0.0,247178.14,126044.47,
