Filename,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML,POS_TJGIp2_1_Run37.mzML,POS_TJGIp2_2_Run93.mzML,POS_TJGIp2_3_Run161.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
2759/782.5686mz/7.68min,18536234.0,13241782.0,1921827.6,69771560.0,18442448.0,13115399.0
2761/780.5506mz/7.68min,2262942.2,7132745.5,1374944.8,1323843.4,4329525.0,8200183.0
2762/781.5543mz/7.68min,1056311.9,2830656.0,325768.25,691152.44,1737555.0,4136595.8
2764/409.3096mz/7.69min,3258277.5,3469077.2,5347835.5,1007708.56,3738069.0,4095635.0
2767/449.3017mz/7.69min,823440.06,1051198.0,2094015.8,70031.04,896210.44,1155276.0
2773/425.3043mz/7.67min,1970881.5,2837455.2,3821214.2,889779.7,2008387.8,2949265.0
2777/427.3202mz/7.69min,2498943.2,2333557.0,2784198.8,606810.94,1913577.2,2067820.6
2778/428.3238mz/7.69min,846265.4,690606.94,832101.8,229948.38,678498.56,637459.6
2779/497.3231mz/7.69min,244983.14,342079.03,522651.03,31858.072,339765.47,346028.3
2780/441.2994mz/7.7min,630502.9,547031.0,755069.94,485624.1,577988.9,591904.56
2791/740.5217mz/7.66min,287622.25,44736.723,2976023.0,3250749.5,19340.41,23994.846
2792/267.1739mz/7.7min,666505.1,834401.44,1226474.9,137721.23,730853.0,761724.25
2793/393.3146mz/7.7min,7602444.0,9666152.0,13504367.0,2144685.5,7551189.0,10959513.0
2794/445.3309mz/7.7min,1279496.4,992069.56,2325033.2,294476.1,1012714.5,1240432.4
2797/479.2758mz/7.71min,282613.3,351027.06,694489.7,54083.56,434078.97,479267.06
2798/407.2938mz/7.72min,2017447.0,1287406.9,3989590.5,151710.06,1803348.6,1967083.1
2799/392.3024mz/7.71min,966517.7,505802.25,651971.75,177973.58,624162.0,636443.25
2800/457.2944mz/7.71min,400452.7,297703.12,377517.9,135007.83,374779.84,310251.75
2801/391.299mz/7.71min,2611864.2,1631877.4,2357179.2,390358.4,2068860.0,2172393.5
2803/798.562mz/7.69min,207236.05,3321.6738,35059.258,411229.9,2849.455,0.0
2809/499.2578mz/7.72min,132902.84,149040.0,283390.97,0.0,182610.95,250365.58
2811/429.4127mz/7.72min,0.0,0.0,7940753.0,0.0,0.0,4111271.2
2813/526.3519mz/7.72min,548761.9,392013.0,517554.03,150303.92,438514.7,607979.06
2814/455.3323mz/7.72min,475414.94,656400.9,840063.9,398987.84,888330.2,802605.7
2816/428.4093mz/7.7min,0.0,2991.6094,27551860.0,0.0,6217.751,14411481.0
2818/500.4666mz/7.74min,3009862.5,1688116.1,0.0,1429649.5,1242014.9,0.0
2819/472.4355mz/7.72min,0.0,0.0,3288944.8,0.0,0.0,2041511.4
2823/409.3453mz/7.73min,407423.88,299113.5,298244.44,129727.36,375277.72,218406.28
2825/437.3025mz/7.73min,364814.3,370005.44,724047.7,18457.746,413291.62,564067.8
2827/415.3202mz/7.74min,1172612.0,868019.1,860811.2,324663.84,875566.06,830874.94
