"","filter","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp8_1_Run20.mzML","NEG_TJGIp8_2_Run85.mzML","NEG_TJGIp8_3_Run207.mzML"
"2779/433.2358mz/10.39min",79658.1679,2807789,3329.1191,665.82382,2427238,155902.42,3413.9158
"2780/112.9856mz/10.47min",3310695.1,2109619.2,3967584.8,5319117.5,2102435.2,2765988.2,3855402
"2781/146.9659mz/10.49min",131033.44,255023.98,109426.96,48990.984,204535.22,152639.92,57772.68
"2782/162.8391mz/10.48min",1111156.35,4444978,282734.62,1168679.6,3787544.8,1053633.1,943954.2
"2783/160.8421mz/10.47min",1136959.95,4870854,1014923.5,1151507.5,3809780.8,1122412.4,914974.4
"2784/195.8109mz/10.51min",20540.3838,34233.973,35420.37,6846.7946,118620.19,6846.7946,6846.7946
"2785/197.8079mz/10.49min",30714.079,97122.65,50669.348,2151.762,152021.52,10758.81,2151.762
"2787/132.8678mz/10.5min",435078.88,2927490.2,418507.1,408672.03,2912358.8,451650.66,351029.28
"2788/134.8653mz/10.51min",333942.1,2825628,318887.7,309158.12,2754015.8,348996.5,254407.78
"2789/304.9139mz/10.58min",2008755.45,812240.9,2223399.5,2100352.5,802876.44,1917158.4,2179870
"2790/174.956mz/10.58min",15686121,12442942,16144263,16078993,12290219,15293249,16195751
"2792/355.3217mz/10.64min",238400.61,167629.4,234622.45,15305.74,388664.16,274648.7,242178.77
"2793/355.3217mz/10.78min",121249.25,527120.3,202326.89,22844.133,301683.3,40171.61,26764.004
"2795/431.2073mz/10.8min",2362.4112,787.4704,39867.906,3937.352,787.4704,40270.582,787.4704
"2796/491.1479mz/10.83min",119088.54,19105.07,745743.1,102895.27,38612.836,135281.81,177528.1
"2797/477.2129mz/10.81min",8145.19675,923.0205,88246.95,4615.1025,923.0205,250968.64,11675.291
"2798/473.2179mz/10.83min",454894.185,56850.98,441834.97,467953.4,45747.777,1097562,893331.5
"2799/485.1817mz/10.83min",165288.96,6142.814,180252.56,150325.36,30714.07,482765.38,322211.75
"2801/425.1969mz/10.84min",1512167.4,140726.34,1619701.2,1539001.4,814145.44,1485333.4,1743281.6
"2803/455.1712mz/10.86min",405845.34,256650.94,1996509.4,296801.5,407907.8,1545701.2,403782.88
"2804/383.3529mz/10.8min",7030.0335,3340.32,14275.347,4133.947,9926.12,668.064,87391.12
"2805/397.2019mz/10.86min",105734.64,3328.1284,597467.7,91411.36,76595.37,633568.25,120057.92
"2806/457.187mz/10.85min",602449.205,428762.72,3451429,695069.75,933540.6,509828.66,356312.62
"2808/355.3217mz/10.87min",52548.05,47777.22,57318.88,42161.77,89293.18,44359.77,791920.25
"2810/485.1817mz/10.87min",46985.057,3615.6118,367229.62,18078.059,39123.52,56850.176,54846.594
"2811/425.1969mz/10.89min",178859.06,390985.16,154137.64,251953.23,177834.1,105447.766,179884.02
"2813/473.2179mz/10.93min",183490.29,49941.227,343639.97,195398.38,171582.2,274038,107205.33
"2817/425.1969mz/10.99min",266626.095,349331.75,136575.55,183920.44,477345.25,654848.94,143360.03
"2818/96.96mz/11.02min",4022871.9,2944546.8,4220628,4319244.5,3167861.8,3825115.8,4467649.5
"2819/180.9732mz/11.03min",84253.183,2059464.5,13249.53,66104.1,901504.7,51947.562,102402.266
"2820/355.3217mz/11.02min",69676.4355,30394.467,86018.414,1004071.75,32445.023,53334.457,132528.7
"2821/383.3529mz/11.04min",4922.1582,1640.7194,1640.7194,124960.43,1640.7194,8203.597,8928.95
"2823/443.3167mz/11.05min",81907.772,13014.548,92439.56,292445.38,65072.74,71375.984,108732.82
"2825/491.148mz/11.09min",171622.295,4977.177,223869.84,175730.48,8473.32,748262.75,167514.11
"2827/471.2021mz/11.09min",6413.52935,4113.8887,3873.0454,27605.322,8713.17,63720.02,3950.3633
