Filename,2024_NEG_CC_1_Run21.mzML,2024_NEG_CC_2_Run48.mzML,2024_NEG_CC_3_Run62.mzML,2024_NEG_CC-VPA_1_Run27.mzML,2024_NEG_CC-VPA_2_Run36.mzML,2024_NEG_CC-VPA_3_Run77.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
428/250.8917mz/8.64min,900798.0,1136388.5,1028378.3,892259.8,514004.3,627564.1
429/248.8936mz/8.62min,1983966.5,2268136.0,2358224.0,1633868.5,1250666.4,1484249.2
431/695.5218mz/8.62min,1005657.6,577640.75,677596.1,514338.97,677068.75,962868.44
432/697.5367mz/8.62min,706354.06,372323.44,529036.4,612539.94,675396.0,721674.6
433/221.8746mz/8.69min,1593397.0,427521.53,561647.5,1433638.6,800477.2,986924.44
434/223.8723mz/8.68min,109618.17,1212334.6,406788.25,151319.12,568446.75,694009.4
435/499.3753mz/8.64min,902901.0,437859.8,756183.06,667705.8,1133132.4,1172500.8
438/655.5634mz/8.68min,5740539.5,2980280.8,4364645.5,4117567.0,4912489.0,5911874.0
440/717.5792mz/8.72min,1205468.6,883646.2,720014.6,715091.25,745543.2,986225.2
441/651.4955mz/8.73min,607114.94,458840.16,494360.16,476623.12,627325.25,610404.8
442/711.5161mz/8.74min,340811.53,156473.5,209729.77,242279.66,333404.53,358545.28
443/243.8993mz/8.74min,15627318.0,14672924.0,13773033.0,12891956.0,8940197.0,10404656.0
444/709.5012mz/8.74min,697393.6,222327.19,272709.4,368005.8,584161.94,746023.3
445/245.8948mz/8.74min,6012013.0,5680209.0,5271789.0,4964615.0,3451226.5,3971706.8
446/695.5202mz/8.75min,571011.0,218527.86,308606.53,358025.4,507457.7,550175.06
447/188.9039mz/8.75min,2547669.5,2164254.5,2165871.5,2356790.2,1771822.6,1930964.9
448/694.5094mz/8.75min,697547.75,264723.72,271715.28,396905.5,571899.06,653574.56
449/693.5062mz/8.75min,1649538.6,660783.75,785434.06,1022731.56,1348629.5,1544680.6
450/223.8723mz/8.75min,2715464.5,3088502.2,2839537.0,2381595.2,1220672.0,1221137.4
451/221.8746mz/8.75min,3821850.5,4302809.5,3934483.8,3348283.5,1690193.2,1726534.8
452/186.9058mz/8.76min,5738327.5,4949710.0,4821247.0,5346461.5,4028652.5,4398820.5
453/248.8936mz/8.76min,7615335.5,8269600.5,5037829.0,6514837.5,3534133.8,3785256.2
