row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp2_2_Run94.mzML Peak area,NEG_TJGIp2_1_Run38.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGIp2_3_Run162.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
2031,160.84201246051146,10.516911,,,,,,,,,,,321619.3,768075.7,271931.03,265900.78,240150.25,2499101.5,
2032,162.83908414350535,10.509323,,,,,,,,,,,314289.6,723103.7,306329.56,259020.42,225758.02,2233112.2,
137,164.03535456946452,3.2898386,,,,,,,,,,,20769.459,28708.31,25461.379,26209.516,27013.404,43642.35,
122,164.03535769771182,3.052452,,,,124,,,,,,,2188212.5,2191619.2,2455485.5,2840776.8,2005530.0,2157244.5,
116,165.0556256129739,3.023517,,,,,,,,,,,1371937.6,1258416.9,1087369.9,1387514.0,1399282.9,1189414.2,
215,165.0557655494151,4.0458055,,,,,,,,,,,269322.3,287434.66,428277.0,477008.9,342827.62,654029.56,
18,168.03349563164798,0.37152386,,,,58,,,,,,,1353130.2,1416829.5,1313230.8,1330354.8,1420429.0,1412586.8,
29,168.06649059523778,0.37858284,,,,58,,,,,,,516450.6,89215.48,353061.94,1283638.8,1000432.7,367647.38,
55,168.0665183839861,0.6316814,,,,,,,,,,,1117395.1,491622.0,522254.0,1873668.0,1354018.9,735273.7,
167,169.08705022405627,3.613568,,,,,,,,,,,20315.182,21575.848,22479.736,23428.133,20846.186,15935.256,
263,169.08705230355272,4.40555,,,,151,,,,,,,420267.78,595445.8,344044.34,381731.75,330101.84,311056.72,
242,169.08705716178758,4.176079,,,,,,,,,,,131358.75,177826.53,80147.15,113005.31,97443.56,64847.438,
184,171.10269088857274,3.7585201,,,,75,,,,,,,3451174.5,3672357.2,4289793.0,5039851.5,3695248.0,4903347.0,
112,171.10269117269954,2.9553592,,,,29,,,,,,,377369.1,499496.12,507766.84,591816.1,272356.3,687633.5,
211,171.1027841386956,4.0078206,,,,,,,,,,,374435.7,512311.44,331850.25,366447.03,307901.6,310986.44,
108,172.09794965915026,2.9090145,,,,,,,,,,,1805102.0,1033205.0,1472463.9,1040718.06,1688579.9,1627517.1,
91,172.09798473420878,2.5489123,,,,,,,,,,,41844.31,40902.277,38202.93,54200.137,45386.617,30476.516,
60,173.08179788860517,0.69107777,,,,,,,,,,,116452.5,80771.45,95755.75,388901.66,115794.18,69951.95,
119,173.08185185630714,3.0460377,,,,124,,,,,,,1446166.4,1486798.0,1581946.0,1884898.4,1541396.8,1518530.5,
160,173.08193409353134,3.521643,,,,,,,,,,,25925.889,27491.406,27141.674,30011.0,23832.473,27701.596,
20,174.07705261456888,0.37382486,,,,58,,,,,,,667022.25,530054.5,834724.7,2794755.0,1604486.5,790744.44,
64,174.0771154320524,0.7751023,,,,,,,,,,,70468.34,16624.383,3675.0647,157757.84,61701.63,29686.9,
2034,174.9560369599949,10.58557,,,,26,,,,,,,1.5084273E7,1.294295E7,1.6594408E7,1.6681257E7,1.6300527E7,1.3491348E7,
87,175.06114609711207,2.434244,,,,,,,,,,,1482920.6,1332304.0,1411843.0,1914304.5,1370636.1,1486586.5,
95,178.050957872544,2.6246555,,,,,,,,,,,543377.7,571457.75,602802.94,712450.5,538608.5,622003.2,
132,178.05098059093132,3.2480583,,,,64,,,,,,,1457985.4,1425905.8,1932880.5,2263069.8,1416776.0,1665768.4,
1800,179.03821705046562,8.382769,,,,,,,,,,,143272.06,913989.7,158133.22,1492969.9,1703415.6,667643.56,
1836,179.03824131715655,8.471205,,,,131,,,,,,,1649291.6,1532555.4,1693720.8,454195.7,2275317.0,2819944.0,
1786,179.03824357308403,8.305625,,,,,,,,,,,90974.27,137788.88,132797.72,863475.8,270353.8,132846.31,
1856,179.03825205437875,8.652571,,,,156,,,,,,,380393.8,316463.75,486426.88,219037.08,670917.94,681481.4,
26,179.0560415521941,0.37542796,,,,,,,,,,,556610.44,467677.22,463403.4,218846.11,701532.2,384427.3,
201,179.07145124367466,3.919378,,,,159,,,,,,,377014.2,416393.0,429643.3,466017.78,650289.9,716074.1,
58,180.06657573061537,0.6608951,,,,,,,,,,,17580.871,69893.07,90504.94,45445.742,12617.874,49107.69,
130,180.06657924797992,3.2443876,,,,64,,,,,,,771553.7,755205.94,889864.56,1032301.56,861380.8,1015917.44,
133,181.07048628180553,3.2302465,,,,,,,,,,,54854.23,162424.52,227067.86,68778.31,63855.887,81229.24,
44,181.07169444369208,0.41422284,,,,,,,,,,,1.422598E7,1.0515548E7,1.3846682E7,2.9329044E7,2.8464788E7,1.1533311E7,
66,181.07173304679353,0.7473347,,,,,,,,,,,179083.88,1994826.8,1496888.8,2204095.2,2566967.8,269579.2,
89,181.07173864274864,2.5589347,,,,,,,,,,,230466.23,24634.2,82378.3,26008.918,0,0,
19,181.9470847206303,0.37307766,,,,58,,,,,,,1120286.5,1232203.2,1243252.2,1136656.4,1069244.0,1191141.1,
427,183.1390008648633,5.1833057,,,,,,,,,,,251290.72,203247.47,182760.53,207553.14,165196.5,231955.34,
255,183.13900268536102,4.3362665,,,,129,,,,,,,993532.94,1105284.6,1162101.6,1321953.6,1213755.2,1661678.4,
107,185.08188815114212,2.8920536,,,,,,,,,,,52048.125,58910.883,47552.36,54623.066,38645.797,56959.445,
195,185.08195483958568,3.839245,,,,98,,,,,,,2854743.5,3085909.5,1748301.2,2973421.8,2638480.0,2616839.0,
293,185.118237713673,4.6377044,,,,,,,,,,,169035.92,169278.89,198256.94,189943.08,222286.28,175696.12,
189,185.1182604533318,3.787484,,,,,,,,,,,170550.31,164965.4,175207.3,192640.81,126413.91,494974.9,
243,185.11833794267878,4.170258,,,,,,,,,,,174942.97,171459.58,194370.27,226046.14,197788.89,209916.06,
219,185.11838228202691,4.0995092,,,,,,,,,,,46311.098,55403.645,71465.45,39041.465,57988.273,32932.31,
111,186.11352668590504,2.9525692,,,,29,,,,,,,831483.8,927908.7,924461.06,1100495.5,999656.44,1179859.0,
138,186.1135408929547,3.2954314,,,,,,,,,,,158583.58,161985.31,194343.66,226866.48,156851.28,197715.27,
1631,187.09750240715564,8.024837,,,,133,,,,,,,118693.914,10523.992,77609.17,58997.06,119044.34,106030.37,
153,187.09754000824023,3.4505475,,,,128,,,,,,,2.2799438E7,2.4080818E7,2.6374946E7,3.0158918E7,2.35222E7,2.9062086E7,
144,187.09757046050356,3.4066718,,,,,,,,,,,62923.355,1.4289087E7,79126.85,85456.445,1.3741601E7,1.4192246E7,
208,187.09766879875482,3.9821205,,,,134,,,,,,,243726.69,231182.3,296318.4,414953.16,307795.22,268294.97,
101,188.03528860698597,2.7859619,,,,122,,,,,,,56816.438,58557.64,74520.31,97247.41,80287.01,74767.61,
85,188.03530405162041,2.4051397,,,,141,,,,,,,1348096.5,1300468.4,2059580.0,2387149.5,1466273.1,1692900.9,
125,188.03535538377113,3.1465883,,,,,,,,,,,73047.22,93086.45,73895.51,97018.5,80844.56,87383.234,
36,188.0563314951722,0.394456,,,,,,,,,,,305349.3,276533.66,268524.88,318840.12,259915.05,238219.39,
63,188.0563447662414,0.7523232,,,,,,,,,,,1825860.1,875418.44,671671.1,1344779.4,901967.7,701634.25,
113,189.0768053351139,2.9637039,,,,60,,,,,,,373637.28,359607.97,370401.44,500234.94,375289.2,438997.56,
148,189.11305039779862,3.4250915,,,,,,,,,,,266163.53,314410.38,223227.1,252516.97,252316.05,239161.83,
185,189.11321603199372,3.7567081,,,,75,,,,,,,413835.44,422529.25,528798.7,621423.2,451335.06,575483.94,
59,190.0719910050228,0.6829033,,,,,,,,,,,915117.4,819061.56,602141.3,927893.25,796611.3,461234.1,
31,190.07199565802657,0.3833182,,,,58,,,,,,,767183.0,858785.4,757867.25,931795.8,837841.2,522177.03,
1,190.92838931475015,0.031831454,,,,,,,,,,,533778.94,480578.16,571728.0,1159419.5,1159166.0,476988.97,
2023,190.92845684078745,10.434657,,,,,,,,,,,256872.58,56970.137,280459.34,546657.9,419692.28,152839.19,
159,191.0746046416451,3.473674,,,,,,,,,,,110285.31,130181.81,144099.77,182464.17,184593.38,166395.66,
168,191.07478760896637,3.613692,,,,,,,,,,,448860.7,511480.4,542563.0,645950.06,640225.3,648927.94,
141,193.05057763458294,3.3513737,,,,,,,,,,,969933.44,983188.56,668515.8,722216.25,1808300.5,782124.25,
117,194.0457960961653,3.0317872,,,,,,,,,,,117698.32,120599.04,107688.45,142449.52,121723.89,122264.27,
83,194.04580269845323,2.390278,,,,141,,,,,,,2149701.0,1913724.8,1813843.2,2139740.0,2087747.5,1609258.8,
52,195.81074660859207,0.53844947,,,,,,,,,,,11584.917,0,0,135947.56,110843.8,5190.6724,
41,195.81077241416006,0.40010977,,,,102,,,,,,,617366.2,436203.5,436014.9,462928.1,643642.94,472550.28,
2025,195.81094613525417,10.404988,,,,,,,,,,,8767.234,61334.605,76336.4,942250.4,1722726.8,23355.469,
2015,195.8109764489975,10.346065,,,,69,,,,,,,603149.1,26198.977,1302808.0,1843254.8,2713040.0,25859.857,
51,197.8078020204586,0.5366464,,,,,,,,,,,15796.64,10985.308,0,203477.6,138860.53,10256.792,
39,197.80782874598302,0.39929274,,,,102,,,,,,,791362.1,574364.0,564730.8,596292.44,830950.06,611604.56,
701,197.8078723148822,5.954772,,,,,,,,,,,0,0,0,0,0,125463.97,
2013,197.80794582637213,10.349353,,,,,,,,,,,764676.4,30172.012,1616274.2,1874636.2,3199811.5,33515.242,
2022,197.80795921562685,10.390241,,,,,,,,,,,638818.0,76763.1,106748.3,2255229.0,3314215.5,72541.61,
177,199.09756434321966,3.692445,,,,126,,,,,,,1.1888789E7,1.2670404E7,1.2379448E7,1.4004434E7,1.3529061E7,1.3125033E7,
249,199.09762199402465,4.3016877,,,,,,,,,,,162589.0,194515.17,126639.82,272795.72,176684.28,192618.22,
