row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp10_3_Run210.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGIp10_2_Run133.mzML Peak area,NEG_TJGIp10_1_Run23.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,Unnamed: 19
2178,194.90575764474133,7.843710000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,970704.06,
1869,194.9058795590424,7.59825,,,,,,,,,,,0.0,0.0,3877.5981,0.0,0.0,455924.88,
1717,194.90591875605116,7.325982000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,489845.38,
224,195.06614313842368,4.1446033,,,,103.0,,,,,,,302350.7,341795.38,340409.8,347026.5,337299.12,277167.84,
391,195.0661611715622,4.574232,,,,14.0,,,,,,,9605726.0,11420033.0,9738385.0,9519440.0,9857004.0,10159744.0,
316,195.06620301180425,4.4464746,,,,4.0,,,,,,,580481.44,579578.6,497779.1,482675.1,491967.03,517862.12,
138,195.0662524441474,3.5318339999999995,,,,131.0,,,,,,,94412.04,89083.94,60196.402,62693.35,71665.47,65132.765999999996,
108,195.0662608249643,3.2130804,,,,,,,,,,,59354.863,50549.05,27895.129,38860.316,42109.695,33409.28,
152,195.06626596806026,3.7548019999999998,,,,158.0,,,,,,,615361.06,492116.16,399830.56,505108.06,434115.28,299838.8,
1402,195.81077198306892,6.524832,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,408590.2,
2191,195.81078112987342,7.8930679999999995,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,923579.8,
43,195.81091376638432,0.403069,,,,,,,,,,,0.0,0.0,0.0,0.0,64891.797,176019.38,
1575,195.81092440082142,6.986513599999999,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,252016.05,
2742,195.81097809013855,10.380055,,,,56.0,,,,,,,4166102.5,3305103.0,3857958.5,2206359.5,5075.3735,37686.656,
2727,195.8110103018187,10.331650999999999,,,,169.0,,,,,,,2876936.0,2038393.2,3141410.8,2203436.0,243849.19,627775.4,
72,196.01077082791517,2.2586694,,,,,,,,,,,2740398.5,3915618.8,3994986.5,4720568.0,2451173.5,2137854.2,
28,197.06659196060414,0.37431714,,,,78.0,,,,,,,1182297.1,1582865.1,1270886.5,1652474.1,554241.9,1098052.2,
2083,197.80781132683467,7.765612599999999,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,359769.1,
1576,197.8078403360429,6.9667716,,,,,,,,,,,0.0,0.0,0.0,0.0,3640.7827,333118.84,
2192,197.80784888808316,7.8930679999999995,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1168478.9,
1403,197.80786527355158,6.524832,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,495454.72,
2760,197.807899344984,10.482277999999999,,,,,,,,,,,0.0,0.0,144780.66,76942.914,131520.16,97122.65,
