"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-227-C1-a_Run220.mzML","POS_D5-227-C1-b_Run223.mzML","POS_D5-227-C1-c_Run226.mzML"
"141/300.2897mz/5.58min",25833102,23287200,25048578,17675370,26619782,30389256,26617626
"142/437.1931mz/5.58min",2051057.05,2009082.9,2349523.8,2140853.8,1981006.2,2093031.2,1815783.8
"143/344.3158mz/5.61min",1747347.5,1565503.1,1719950.9,1235153.4,1774744.1,2056994.8,1846733.1
"144/195.1017mz/5.61min",812605.85,763165.75,753661,792258.3,832953.4,842798.94,846420.1
"146/310.2351mz/5.63min",279395.615,71511.22,238860.83,164867.4,367315.2,393213.75,319930.4
"148/347.3348mz/5.65min",984339.845,972210.75,1045634.9,693086.06,913609.9,1081714.2,996468.94
"149/346.3314mz/5.65min",4708727,4567720,4998122.5,4014102.8,4566012.5,5507953.5,4849734
"150/118.0651mz/5.67min",1237484.25,832281.06,1088992.5,1140044.9,1376488.5,1728296.6,1334923.6
"151/225.0911mz/5.67min",2815678.7,1899133.2,2506728.2,2575933.2,3126498,3913356.8,3055424.2
"152/320.1256mz/5.67min",3029686.35,1905326.9,2570896.2,2744408.2,3314964.5,4138987.5,3339737
"153/535.2089mz/5.67min",1046232.03,541581.44,869413.3,919714.56,1189579.5,1584720.1,1172749.5
"154/226.0944mz/5.67min",419845.53,281733.34,366658,381429.22,470463.3,582499.5,458261.84
"155/279.0992mz/5.67min",23220919,15139993,19929360,20734506,25989778,31450146,25707332
"156/105.0335mz/5.67min",2839076.85,1846915,2467678.5,2597630.5,3180531.2,4058786.2,3080523.2
"157/211.0755mz/5.68min",1798243.7,1131671.8,1541299.8,1620104.2,1994569.5,2576013.2,1976383.2
"159/887.388mz/5.68min",1045736.63,1196454.2,1040328.06,1421480.6,1036381.56,1051145.2,935721.3
"160/377.1663mz/5.72min",1346106.35,1376944.8,1170561.6,1339226.5,1353752.2,1153990.5,1352986.2
"161/399.1483mz/5.72min",3300691.5,3258261.8,2931925,3253686.2,3769889,3343121.2,3784003.2
"162/284.2947mz/5.75min",700535.22,577704.06,687102.5,558324.5,807499.44,871827.1,713967.94
