"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML","shared_name"
"7140/250.1437mz/4.24min",3.13203930672324,2.93971985803637,3.20981869518423,1.6951967584091,1.87897314586682,1.69203277590574,"7140"
"7142/584.3445mz/4.32min",2.41880937746481,2.09758866598669,1.89941565870376,2.2051398530612,2.31642564380669,2.3979077650434,"7142"
"7148/526.2946mz/4.29min",2.94704688565789,2.78764953784908,2.99896276737842,2.50003780957495,2.6619549486475,2.57407648836631,"7148"
"7155/195.138mz/4.31min",2.22882315527003,2.05924617047683,2.20590037102249,2.61313720342195,2.56110227671962,2.52236378846994,"7155"
"7156/275.2004mz/4.31min",2.66436584827473,2.47070713238557,2.62314719124493,3.07391922331312,3.04065773117341,2.98153180073551,"7156"
"7157/293.2109mz/4.31min",2.65741681620874,2.48341701172085,2.64950382895342,3.09417065928546,3.05332604866874,2.99533863588648,"7157"
"7162/406.731mz/4.32min",2.37585745749939,2.23163950503701,2.40242955005732,2.20718284498727,2.3899687904815,2.29674120302074,"7162"
"7165/291.1952mz/4.32min",2.33815886971795,1.87709667603676,2.03051150232683,2.79070240323541,2.72541161461854,2.70541585402961,"7165"
"7169/149.1325mz/4.32min",1.89023175486391,1.73024824376353,1.92217247610024,2.48691254935877,2.44933416807771,2.40576316577235,"7169"
"7170/351.2142mz/4.32min",2.21064182679103,2.22938513279765,2.31310213945789,2.80608509338404,2.69470282528972,2.67006919134379,"7170"
"7174/691.4mz/4.32min",2.38441250900171,1.9899607666385,2.40211860997359,2.05205399328053,2.05762727342418,2.39242228730165,"7174"
"7179/370.2697mz/4.34min",2.83604989449794,2.6556887152031,2.84546120728141,1.50184808599264,1.56753696122807,1.50062726312564,"7179"
"7182/370.7204mz/4.35min",2.49281970366842,2.33597757038493,2.43587514450755,1.61656588416017,2.11964623797287,1.93018553763804,"7182"
"7184/226.1801mz/4.36min",2.62032046810692,2.47307104682797,2.61979830068526,2.88332442908867,2.81748500028259,2.66285848772638,"7184"
