"MetaboAnalyst_ID","Yeast_HE_D5.Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5.Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5.Ctrl_c_neg_20190515_Run43.mzML","NEG_D5.227.C2.a_Run248.mzML","NEG_D5.227.C2.b_Run251.mzML","NEG_D5.227.C2.c_Run254.mzML","shared_name"
"352/282.2215mz/7.75min",3.46669297528574,3.48369906474473,3.47925268165286,2.06096215362083,2.06875316179215,2.0606731956074,"352"
"353/579.2632mz/7.75min",3.90920105609862,3.88696285892439,3.97288916171375,2.48123186414748,2.4890228784292,2.48094290590318,"353"
"354/421.1559mz/7.75min",3.23006423938139,3.19670199738087,3.29672865419283,1.79097167488314,1.79876266543519,1.79068271753541,"354"
"360/316.9477mz/7.76min",2.51049643973654,2.51049643973654,2.51049643973654,2.50270542535775,2.56002237891227,2.60011902506987,"360"
"361/440.1355mz/7.76min",2.61871752920184,2.61871752920184,2.61871752920184,2.61092651445652,2.66936182275076,2.70689582783288,"361"
"363/117.9285mz/7.77min",3.03529907675885,3.03529907675885,3.03529907675885,3.05063275252468,3.03529907675885,3.05024649784513,"363"
"365/248.9603mz/7.77min",2.56667080682811,2.56667080682811,2.56667080682811,2.55887979223646,2.63651546130825,2.67645866515572,"365"
"368/114.9341mz/7.77min",2.68447489722115,2.68447489722115,2.68447489722115,2.70937927465786,2.68447489722115,2.69983253992268,"368"
"369/116.9284mz/7.77min",3.96846581580556,3.96846581580556,3.96846581580556,3.98957928826481,3.96846581580556,3.98478219189943,"369"
"371/357.1627mz/7.77min",2.54304083422668,2.54304083422668,2.54304083422668,2.53524981971792,2.55498604859283,2.55079055549873,"371"
"378/353.1637mz/7.77min",2.82323770215571,2.82323770215571,2.82323770215571,2.81798540875327,2.82323770215571,2.83241256565314,"378"
"379/355.1582mz/7.77min",4.11758009008429,4.11758009008429,4.11758009008429,4.10978907477219,4.12311948682513,4.12998482451394,"379"
"380/118.9241mz/7.77min",2.64714135732102,2.64714135732102,2.64714135732102,2.63935034250609,2.71713601060022,2.71241847896026,"380"
"395/228.1958mz/7.77min",3.43105906052156,3.17276432574371,3.32973718813118,1.76703408499895,1.77482507266535,1.76674512776025,"395"
"397/408.3082mz/7.77min",4.27315690515143,4.03774367979981,4.19746285946428,2.63201267040114,2.63980368519896,2.63172371213733,"397"
"400/250.1777mz/7.78min",3.670178423602,3.42209584565633,3.58261494141484,2.01636507011795,2.02415607666112,2.01607611216604,"400"
"406/371.1528mz/7.82min",2.79387262685743,2.79387262685743,2.79387262685743,2.786081611798,2.85556839107833,2.86323950149558,"406"
"415/213.9829mz/7.87min",3.66507471830555,3.39373562856636,3.55031394306879,1.98800488769019,1.99579589300988,1.9877159297845,"415"
"416/248.9603mz/7.87min",2.56560924247441,2.56560924247441,2.56560924247441,2.55781822788628,2.63323078500581,2.6760544669802,"416"
"418/382.1762mz/7.87min",3.87536454084946,3.87536454084946,3.87536454084946,3.89187278579671,3.88894206945771,3.86728456725533,"418"
"419/114.9341mz/7.87min",3.00832296161556,3.00832296161556,3.00832296161556,3.00639570074879,3.00832296161556,3.00464249856481,"419"
"420/116.9284mz/7.87min",4.28930179845216,4.28930179845216,4.28930179845216,4.2818433354684,4.29561839335991,4.28122182485649,"420"
