row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_S4_MC_RCG_2_neg_20210511_Run91.mzML Peak area,GF_S4_MC_RCG_3_neg_20210511_Run171.mzML Peak area,GF_S4_MC_RCG_1_neg_20210511_Run71.mzML Peak area,Unnamed: 19
2115,425.2043409870722,3.3265087999999996,,,,85.0,,,,,,,2592604.2,3190802.2,2977988.0,1656569.0,1424026.9,1168498.4,
2198,425.24071859421946,3.4872656,,,,73.0,,,,,,,962442.5,1116407.5,1173142.8,758143.25,652617.25,594171.0,
1852,425.2769737825855,3.002226,,,,141.0,,,,,,,2297404.2,2781020.8,2115483.2,1111643.9,1098257.8,1163640.8,
3443,425.4000242731097,9.467118,,,,,,,,,,,2200320.0,935750.44,1221316.9,120834.64,80660.875,177093.0,
2987,426.2077585673108,7.4217434,,,,,,,,,,,150167.17,30928.97,77655.81,30969.56,6758.433000000001,77253.55,
1538,426.23474023039597,2.6663265,,,,,,,,,,,319252.25,400198.22,498487.28,167192.66,144982.58,123848.5,
2078,426.235530883754,3.285427,,,,79.0,,,,,,,355531.8,391615.4,378324.9,370275.06,401493.03,396013.56,
1409,426.23560130716385,2.5344067000000003,,,,101.0,,,,,,,777071.5,919495.9,1046354.44,617367.6,550550.44,617565.0,
1179,426.23577009775397,2.3233345,,,,134.0,,,,,,,3275903.8,3344927.0,3324282.0,2563440.0,2417023.5,2536101.5,
2609,426.96768625791833,4.9648747,,,,,,,,,,,12851761.0,14237492.0,14508187.0,11907009.0,13327281.0,14087733.0,
1630,427.1833237548578,2.7542397999999997,,,,,,,,,,,390694.34,474473.22,403306.34,3567998.0,3241164.5,3056840.0,
2940,427.2154219920372,7.139471,,,,,,,,,,,219236.16,149147.17,250145.33,223334.67,249321.42,207898.02,
3199,427.21543365094874,8.086328,,,,,,,,,,,556908.9,185731.67,422717.22,137755.64,160614.2,316413.56,
1773,427.2195555121938,2.9322395,,,,221.0,,,,,,,555271.94,726610.7,840450.0,1210746.1,1127271.1,1099729.9,
1477,427.2559671477684,2.5797865,,,,,,,,,,,496047.47,825945.56,683159.6,131585.34,92677.53,155907.44,
3385,427.37907763875495,8.785964,,,,,,,,,,,2786155.5,1170321.4,2077763.0,354814.28,302673.25,587605.44,
2598,427.97077658566,4.963110400000001,,,,,,,,,,,1027416.75,1147174.9,1247449.6,927911.1,1163050.4,680743.6,
2427,428.18597693405366,4.0415664,,,,66.0,,,,,,,973108.0,1363033.0,1952037.5,193370.61,138128.34,244102.89,
1756,428.2138868228704,2.905568,,,,164.0,,,,,,,54472.816,91763.516,100950.77,674626.75,591755.0,615266.6,
892,428.21467682192383,1.975384,,,,,,,,,,,0.0,229372.97,446494.3,2116547.2,1586918.2,2203417.0,
1449,429.19893821828384,2.5880125,,,,116.0,,,,,,,1611968.6,2146768.5,2976138.8,3695938.5,3401852.5,3570822.2,
2814,429.29667943398204,6.219991,,,,165.0,,,,,,,1821934.8,2466573.2,3266246.8,347305.28,287852.8,288134.12,
145,431.14056218580896,0.41766486,,,,50.0,,,,,,,7718.3594,27266.6,64027.055,918046.44,992259.0,855768.9,
2034,431.19352615747925,3.235032,,,,,,,,,,,215696.0,281921.4,306738.8,256012.25,287605.34,295942.2,
1802,431.22975927447663,2.941696,,,,3.0,,,,,,,708439.8,1059164.1,838838.94,320647.75,298267.34,356211.28,
1591,433.2123867563106,2.7198389,,,,120.0,,,,,,,2190562.8,2628104.0,2286180.8,287846.75,279658.25,241987.86,
1530,433.2124137483752,2.6796,,,,,,,,,,,1415694.4,1867880.8,1677632.5,424695.44,377202.94,420731.06,
2879,433.2359878104171,6.752979300000001,,,,,,,,,,,448255.12,1049380.1,617175.56,575286.44,2995803.2,383358.7,
2894,433.2360670502344,6.822288,,,,,,,,,,,436721.84,5001189.0,114198.58,645689.4,382767.75,789469.94,
1711,434.1928062807479,2.8867279999999997,,,,,,,,,,,384695.1,582881.3,832694.6,144748.92,80706.86,69953.98,
1011,435.18773707693083,2.12102,,,,,,,,,,,195476.9,206602.0,280719.4,1733536.0,1406556.2,1898162.5,
1080,435.2002631778225,2.205702,,,,143.0,,,,,,,1287373.8,1641330.8,2264425.2,3257418.0,2864563.0,3002575.2,
3003,435.25139467743986,7.407959,,,,,,,,,,,62717.64,755894.0,9199.641,41608.676,15692.278999999999,71971.336,
3132,435.25174981684273,7.679871,,,,,,,,,,,74925.945,604808.56,25565.14,54938.805,47876.484000000004,242420.9,
2596,437.16352638602166,4.917559,,,,,,,,,,,285464.3,410804.97,254140.3,213703.38,159002.33,335901.34,
