"","FC","log2(FC)","raw.pval","-log10(p)"
"3632/442.3311mz/6.69min",0.36671,-1.4473,0.0024023,2.6194
"441/223.154mz/3.08min",0.23141,-2.1114,0.0024065,2.6186
"2093/425.2316mz/5.28min",0.29664,-1.7532,0.002421,2.616
"5240/425.3771mz/7.85min",11.459,3.5184,0.0024271,2.6149
"2911/413.2682mz/5.92min",0.2652,-1.9149,0.0024373,2.6131
"1548/458.2234mz/4.93min",0.3757,-1.4123,0.0024621,2.6087
"2912/431.2789mz/5.92min",0.27737,-1.8501,0.0024804,2.6055
"725/397.1642mz/4.13min",0.28712,-1.8003,0.002513,2.5998
"730/339.1588mz/4.13min",0.29566,-1.758,0.0025144,2.5996
"2009/413.2323mz/5.24min",0.27756,-1.8491,0.0026343,2.5793
"782/473.1803mz/4.18min",0.25557,-1.9682,0.0026385,2.5787
"2083/444.2455mz/5.27min",0.28875,-1.7921,0.002652,2.5764
"1657/442.1942mz/5.02min",0.41431,-1.2712,0.0026884,2.5705
"2159/411.2164mz/5.31min",0.28828,-1.7945,0.0026961,2.5693
"5059/223.0635mz/7.72min",0.021599,-5.5329,0.0027059,2.5677
"1145/459.2009mz/4.67min",0.38197,-1.3885,0.0027314,2.5636
"1994/425.1954mz/5.23min",0.27998,-1.8366,0.0027445,2.5615
"852/373.0915mz/4.32min",61.145,5.9342,0.0027489,2.5608
"3502/1043.7028mz/6.58min",2.5555,1.3536,0.0027658,2.5582
"1261/477.2474mz/4.76min",0.29733,-1.7499,0.0028178,2.5501
"1147/442.1939mz/4.67min",0.34278,-1.5447,0.0028595,2.5437
"4475/282.2789mz/7.39min",0.18086,-2.4671,0.0029728,2.5268
"1151/335.1483mz/4.67min",0.35464,-1.4956,0.0029929,2.5239
"1086/399.1797mz/4.62min",0.29065,-1.7827,0.003019,2.5201
"1543/457.2198mz/4.93min",0.38806,-1.3656,0.0030713,2.5127
"1892/329.2107mz/5.17min",0.30765,-1.7007,0.0031041,2.5081
"1090/371.1849mz/4.62min",0.28561,-1.8079,0.0031328,2.5041
"749/425.1954mz/4.15min",0.41585,-1.2659,0.0032041,2.4943
"599/179.1066mz/3.69min",0.18767,-2.4137,0.0032242,2.4916
"1590/459.2376mz/4.95min",0.29285,-1.7718,0.0032667,2.4859
"5607/628.1941mz/8.11min",0.03603,-4.7947,0.0032841,2.4836
"2047/403.1748mz/5.25min",0.3708,-1.4313,0.0032937,2.4823
"4290/223.0636mz/7.21min",0.022288,-5.4876,0.003301,2.4814
"2601/211.0964mz/5.61min",0.33659,-1.5709,0.0033436,2.4758
"1656/441.1905mz/5.02min",0.4479,-1.1587,0.0033513,2.4748
"2353/449.2529mz/5.42min",0.40277,-1.312,0.0033723,2.4721
"1719/425.1953mz/5.05min",0.31395,-1.6714,0.0034075,2.4676
"3285/501.2821mz/6.33min",0.27065,-1.8855,0.0034096,2.4673
"1895/429.2272mz/5.17min",0.24427,-2.0335,0.0034325,2.4644
"1846/243.1589mz/5.14min",2.1531,1.1064,0.0034425,2.4631
"867/244.1906mz/4.36min",0.099845,-3.3242,0.0034592,2.461
"870/226.1801mz/4.36min",0.11107,-3.1704,0.0034816,2.4582
"1152/441.1904mz/4.67min",0.34773,-1.524,0.0034854,2.4577
"1139/323.1636mz/4.67min",0.22668,-2.1413,0.0035285,2.4524
