row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,NEG_TJGIp3_1_Run56.mzML Peak area,NEG_TJGIp3_3_Run174.mzML Peak area,NEG_TJGIp3_2_Run138.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Unnamed: 19
433,130.08729322169046,3.7385924,,,,45.0,,,,,,,60799.613,180735.4,95198.59,101630.03,93714.8,92081.375,
966,130.08729407762578,6.0853763,,,,,,,,,,,5491.7847,114274.984,224986.78,19615.846,36539.07,155435.53,
286,130.08731572283486,2.9132729,,,,69.0,,,,,,,1174779.0,1059819.4,1041481.75,1370884.1,1401704.8,1443396.0,
235,130.0873226385315,2.6554506,,,,,,,,,,,2596846.0,2402479.8,2869446.0,3127236.5,2895389.5,2964133.0,
160,130.08733202790629,0.87755775,,,,,,,,,,,203850.45,121646.09,176718.66,433123.84,245596.03,171675.81,
364,130.08733453704346,3.3564078999999998,,,,,,,,,,,91241.06,206066.44,97629.21,217363.89,131563.6,105596.37,
228,131.07132681993613,2.615175,,,,,,,,,,,33981.957,63421.98,60671.14,32420.152000000002,36103.69,48298.773,
261,131.07132759057336,2.7794668999999996,,,,119.0,,,,,,,2581735.0,2287156.5,2227721.0,1944133.4,1889974.6,2635607.2,
13,132.03013486606602,0.35898018,,,,12.0,,,,,,,1013364.9,509536.62,1038052.7,696177.2,1544346.5,709516.75,
2004,132.0302093365494,10.153913000000001,,,,,,,,,,,59171.72,48978.59,4019.5142,22529.834,85340.97,32876.33,
2009,132.9001607712135,10.182688,,,,,,,,,,,179583.56,205815.08,418969.3,205491.1,143863.06,834777.3,
1637,132.92337549849,7.7112756,,,,,,,,,,,874344.75,581802.4,510923.78,641496.44,1633892.9,1004804.1,
1797,132.9233931010724,8.138902,,,,4.0,19.0,[2M-H2O+H]+,,2.0,1821;1797,74.96321,5036373.5,429754.38,622623.06,4363085.0,2304858.0,1308345.8,
55,133.0141540892468,0.38158348,,,,12.0,,,,,,,21070608.0,6962417.0,16292810.0,13690181.0,18742968.0,12551164.0,
92,133.0504753677952,0.45006080000000004,,,,,,,,,,,663011.8,434241.1,562487.06,839904.0,542186.25,508770.94,
111,133.05053404976312,0.6053,,,,78.0,,,,,,,1440463.8,1888189.5,3362447.5,2496297.0,2647089.8,2460585.8,
40,134.017522264507,0.38005784,,,,,,,,,,,881926.1,282298.4,669699.25,563049.9,745421.0,513775.75,
73,134.04715489863904,0.41615653,,,,,,,,,,,83698.92,374128.44,411372.9,128344.51,563456.75,277004.12,
154,134.0472038650095,0.8801889999999999,,,,159.0,,,,,,,2720068.2,1981824.6,2665097.0,2845757.0,4732472.5,1703892.2,
