row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp1_3_Run186.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp1_2_Run100.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,NEG_TJGIp1_1_Run35.mzML Peak area,Unnamed: 19
1201,339.19984491179474,7.207441,,,,,,,,,,,374561.0,803273.5,817596.06,446854.47,159319.12,1311582.4,
1347,339.19997479243716,7.4281559999999995,,,,,,,,,,,53643.023,612715.6,747416.2,77633.23,2440605.8,439416.9,
1286,339.25392253887003,7.4306470000000004,,,,,,,,,,,4479767.0,4870202.0,6177683.0,3955162.5,5308040.0,7375802.5,
740,341.26950041817395,5.9708858,,,,54.0,,,,,,,151758.66,86676.85,108094.33,108760.625,62060.89,143819.8,
1844,341.26955913398535,8.274293,,,,16.0,,,,,,,600890.4,517064.22,404065.75,780527.7,492110.53,487873.72,
1227,341.269608689069,7.3091607000000005,,,,,,,,,,,219499.39,148269.22,182735.78,155592.69,159332.16,135184.45,
1068,341.2696436352901,6.8626,,,,124.0,,,,,,,260299.56,205369.28,256833.22,232623.81,215142.45,253639.08,
1849,341.3058745767435,8.287061,,,,,,,,,,,78308.86,150695.92,124840.12,131600.94,111513.44,117846.35,
1293,341.30592737990503,7.403232000000001,,,,,,,,,,,470177.16,580031.3,549839.06,587356.75,520335.8,492740.94,
323,343.2235775382136,4.6695805,,,,40.0,,,,,,,104308.82,214813.52,108860.64,264852.5,336314.12,221656.17,
353,343.2235984666301,4.7693925,,,,,,,,,,,302498.22,506390.84,328123.44,635863.06,726595.06,566584.0,
1304,343.28519419864256,7.424583,,,,107.0,,,,,,,3112366.5,3409446.5,3994380.2,2869880.0,3851963.2,3806458.8,
796,343.28540724450613,6.121102,,,,121.0,,,,,,,195741.28,110913.3,202034.98,123796.09,150655.94,201798.27,
557,347.222598135062,5.4354205,,,,91.0,,,,,,,323524.8,457268.66,332775.28,508155.0,373186.78,401030.9,
1007,347.2228840078693,6.691347599999999,,,,136.0,,,,,,,89227.08,76266.25,82902.83,93158.87,74178.516,87230.84,
229,347.2229006940026,3.9347565,,,,,,,,,,,40907.965,40164.86,39581.633,56692.133,41210.28,32642.654,
1621,349.25120359641085,7.868881,,,,,,,,,,,615525.75,0.0,0.0,1629208.4,0.0,0.0,
145,351.0597390366282,3.0528157000000005,,,,,,,,,,,177756.73,249345.89,151086.95,286337.16,98330.305,85001.47,
444,351.1846261632834,5.0657496,,,,,,,,,,,287596.6,308353.28,273819.2,395903.75,325492.47,433758.06,
1458,351.18635703054315,7.678134399999999,,,,9.0,,,,,,,3238330.0,3668957.2,3744419.0,4104155.5,4198514.0,3847736.2,
797,351.2178356609872,6.1236706,,,,,,,,,,,266563.72,304153.5,295619.62,302467.56,240859.67,145579.94,
830,351.21869161699374,6.2334629999999995,,,,,,,,,,,1169188.1,108288.97,131015.16,1035462.06,212828.78,156662.22,
1525,351.2205264526694,7.684461,,,,,,,,,,,261080.66,258269.73,289367.0,390213.53,4546.5933,785810.6,
890,351.22100127563994,6.439936599999999,,,,,,,,,,,1851319.0,572120.9,755272.7,2105672.8,0.0,795408.6,
932,351.22104469449675,6.4894457,,,,,,,,,,,2635408.8,2167409.5,3316495.0,398530.53,0.0,3279927.0,
1642,351.22105542549036,7.9321327,,,,,,,,,,,0.0,48988.655999999995,95753.5,0.0,386064.84,0.0,
997,351.2211347024781,6.603038300000001,,,,,,,,,,,0.0,596591.3,1105282.8,0.0,3033883.2,0.0,
1101,351.2541205008537,6.9506836,,,,70.0,,,,,,,838384.6,637258.2,848435.44,653510.44,953427.7,1091557.9,
1050,353.2004079867582,6.800838499999999,,,,,,,,,,,0.0,992055.25,1919490.6,0.0,3299520.8,0.0,
963,353.2004163299641,6.616647200000001,,,,,,,,,,,1300708.9,501010.8,429409.6,1931042.5,0.0,820385.2,
1018,353.2004670806141,6.7583027,,,,,,,,,,,0.0,2014054.5,1684395.8,0.0,998578.2,3230055.0,
355,355.1549834845958,4.712845300000001,,,,,,,,,,,77933.97,2007071.1,1357638.5,3308125.5,2777352.0,187056.3,
333,355.15500041320524,4.6743217,,,,40.0,,,,,,,1579027.6,4382289.0,1928956.0,5157928.5,3622904.0,1988009.2,
1496,355.15822269941214,7.6843295,,,,9.0,,,,,,,3939327.0,4647529.5,4875681.0,4764863.5,5252314.0,4120341.5,
670,355.2489535305236,5.82696,,,,,,,,,,,122513.47,497039.03,411563.38,179071.38,474159.25,510425.94,
640,355.24896380582766,5.7344193,,,,,,,,,,,294337.22,67027.65,53190.655999999995,516776.56,74264.99,76991.29,
1025,355.2490474061935,6.816726700000001,,,,,,,,,,,985017.2,930605.2,1100985.9,994245.9,1121068.1,1357534.0,
1891,355.32163049875726,8.471227,,,,132.0,,,,,,,1353599.1,2018400.4,2043653.2,1567589.4,2191535.2,1964372.6,
2092,355.3216611795968,10.636592,,,,,,,,,,,79101.37,167200.48,29500.968999999997,220703.86,95498.14,75633.76,
2110,355.3216708314842,11.100249,,,,,,,,,,,172540.73,278000.4,590384.0,676263.06,128529.984,397260.06,
2093,355.3216791582728,10.751277,,,,,,,,,,,1124698.8,204072.11,46429.46,41516.695,367816.53,75633.76,
2098,355.32168134906374,10.845931,,,,,,,,,,,268091.9,1284860.8,162673.14,278023.16,1037864.94,2079528.1,
2107,355.32169154603685,11.0234785,,,,,,,,,,,234854.44,165426.45,456199.16,136151.72,216588.11,67443.69,
1419,355.3216945544306,7.657735300000001,,,,9.0,,,,,,,31539818.0,37689836.0,37452108.0,40521280.0,41213496.0,35514404.0,
1643,355.3217533062552,7.989955999999999,,,,,,,,,,,43826.1,183589.97,167018.95,141496.14,127328.58,114529.44,
1515,356.16035377555863,7.6866455,,,,9.0,,,,,,,898694.06,1060128.9,1117329.4,1093270.9,1235004.5,935826.3,
1086,356.2806775936776,6.914414999999999,,,,92.0,,,,,,,2810818.0,2494387.5,2638998.8,2788535.8,3223877.8,2985088.8,
1420,356.32501183476637,7.657735300000001,,,,9.0,,,,,,,7477674.5,8989101.0,9003380.0,9690326.0,9838886.0,8476147.0,
364,357.20686530853584,4.7837309999999995,,,,28.0,,,,,,,321509.66,612651.25,403695.2,633638.0,665892.2,680495.3,
486,357.23942530019576,5.24569,,,,38.0,,,,,,,102725.52,158343.36,90207.72,210888.55,221424.67,158082.17,
412,357.2395015817642,4.955957,,,,,,,,,,,5141738.0,6162924.0,5338545.0,7432069.0,9673006.0,9116492.0,
703,357.264532661542,5.891498599999999,,,,,,,,,,,357409.3,317151.03,335275.8,653181.94,187460.81,306647.97,
534,357.2646623587433,5.3502545,,,,,,,,,,,129557.02,144889.64,151098.19,144145.11,148587.02,146606.36,
1432,357.3280084177616,7.662536599999999,,,,9.0,,,,,,,543499.56,1131031.5,1134225.5,1213044.5,1250437.2,1071818.6,
289,359.2188392358556,4.443676,,,,125.0,,,,,,,538681.44,654921.2,567086.44,801267.7,1221400.4,945374.25,
629,359.28019335860625,5.6942368,,,,140.0,,,,,,,208498.44,317776.22,236885.97,341435.12,255509.75,224366.88,
567,359.28027513358734,5.471391000000001,,,,75.0,,,,,,,800253.8,574216.94,792073.56,604326.7,660026.5,883699.2,
661,359.28031533299117,5.7876389999999995,,,,63.0,,,,,,,229012.78,239862.14,243469.31,260535.36,268137.38,295797.2,
1163,362.2370258865992,7.1067643,,,,,,,,,,,0.0,96552.8,29425.795,0.0,4042951.8,0.0,
1112,362.237103702989,6.977564999999999,,,,,,,,,,,40369.812000000005,2941300.0,4605272.5,0.0,1262393.8,4874831.5,
1036,362.23712064837997,6.8383613,,,,,,,,,,,3581048.5,690619.56,1139075.4,2775456.8,0.0,1398801.4,
939,362.23719679028886,6.602247,,,,,,,,,,,1223948.0,255099.2,411236.44,1159418.1,362346.53,407286.4,
915,365.2332070354482,6.442319400000001,,,,60.0,,,,,,,617004.75,607996.44,621434.3,660753.25,491989.6,619105.0,
1122,365.2363373025139,6.994875,,,,,,,,,,,157783.06,216615.9,330651.1,120038.62,30214.04,628228.25,
1179,365.23653160785966,7.158747,,,,,,,,,,,30480.158,120672.04,141110.58,0.0,291957.44,21690.834,
1709,365.23663724050385,8.116937,,,,,,,,,,,10137.616,246608.81,200487.11,0.0,80383.49,266068.44,
321,367.2152267679026,4.6662955,,,,,,,,,,,879488.6,842436.0,955803.5,884629.7,1017766.94,1373671.8,
1422,368.3167655931154,7.6600722999999995,,,,9.0,,,,,,,1165033.5,1369148.1,1332801.1,1591256.0,1930586.5,1259907.9,
1279,369.3008687808053,7.363500599999999,,,,25.0,,,,,,,5461374.0,6258629.5,6065853.0,6664538.5,6097667.0,5662920.0,
1009,369.3010032833303,6.703764,,,,10.0,,,,,,,133729.81,133789.31,124205.21,151896.47,118667.914,145399.58,
1626,369.3372717337327,7.8792424,,,,114.0,,,,,,,551599.1,702241.2,641743.4,665818.8,600698.1,508441.4,
1909,369.3373097684957,8.638833,,,,,,,,,,,1171026.1,2399148.8,1921403.6,1658721.0,2001962.2,1599722.2,
475,371.25512681973703,5.2066126,,,,,,,,,,,230134.45,104088.125,239335.45,191729.23,172140.2,426616.44,
1145,371.31654951922724,7.083372,,,,,,,,,,,324901.62,322905.6,299324.03,374333.84,287343.44,310123.75,
1080,371.31660572575134,6.8912070000000005,,,,,,,,,,,335745.56,346694.53,326120.0,382026.4,306280.56,367116.16,
1699,371.3166086305882,8.0412,,,,,,,,,,,1005687.2,1602585.6,1609844.9,1451164.0,1922880.4,1282762.2,
1019,371.31674989276365,6.730860000000001,,,,,,,,,,,49910.18,56573.492,57959.004,63081.734000000004,48202.68,64503.765999999996,
335,373.16552283547776,4.676966999999999,,,,40.0,,,,,,,547330.06,1249145.4,546637.1,1438461.1,1083694.6,611561.4,
283,373.1656120390165,4.359483,,,,133.0,,,,,,,56048.48,57641.437999999995,44586.113,70942.03,64161.312000000005,75741.38,
299,373.16565926868765,4.489103,,,,,,,,,,,115570.99,130881.16,115289.55,163887.38,180388.38,163523.05,
539,374.24472347616864,5.359033,,,,165.0,,,,,,,11340226.0,166876.47,10868704.0,170835.55,515921.56,287203.56,
290,375.2176819107699,4.446404,,,,125.0,,,,,,,620415.56,708184.75,670472.3,871830.25,775494.94,623681.7,
1644,375.25732156387687,7.9956,,,,,,,,,,,0.0,255160.19,313931.9,15655.242,5842.536999999999,702465.0,
1763,375.2573893218959,8.109117,,,,,,,,,,,0.0,272616.6,529402.1,0.0,869939.1,10751.626,
390,375.27505650741296,4.8721137,,,,106.0,,,,,,,370703.25,721589.8,441475.66,831235.75,622615.6,558276.8,
22,377.08540336418923,0.37653592,,,,4.0,,,,,,,1416661.5,1257434.2,1521849.6,1380093.2,1035742.8,1322943.0,
1334,379.1581296304541,7.444738,,,,107.0,,,,,,,862676.7,994154.1,1152741.6,1108441.0,1467815.5,1120219.4,
869,380.2806493929072,6.3202014,,,,,,,,,,,166535.78,164289.45,168768.98,199684.31,137720.3,156384.25,
1011,380.2806788625444,6.705547999999999,,,,10.0,,,,,,,729200.9,703513.5,734808.75,814859.1,999987.0,946144.94,
1584,381.17383480952776,7.787383999999999,,,,157.0,,,,,,,237545.22,267867.94,331094.03,288779.0,522685.34,284873.47,
526,381.2281554679789,5.343277,,,,22.0,,,,,,,593731.9,531578.2,585047.1,603127.9,983202.1,940021.5,
1338,381.2315677417575,7.445442999999999,,,,,,,,,,,1051663.4,0.0,0.0,1461867.9,0.0,0.0,
1592,381.2316262028034,7.752814,,,,,,,,,,,0.0,131948.83,1089462.1,0.0,2167039.0,0.0,
1433,381.2316564040637,7.684914999999999,,,,,,,,,,,0.0,2374773.0,2237104.5,0.0,106722.15,2812181.8,
990,381.2317496225125,6.606475,,,,,,,,,,,0.0,68164.38,78243.195,0.0,276219.84,80716.04,
935,381.2317695348725,6.501589,,,,,,,,,,,49684.812000000005,156050.31,284918.12,24158.244,73785.67,326422.38,
1893,381.33731934647767,8.496846000000001,,,,,,,,,,,356725.84,537526.75,602872.3,262929.44,567607.8,496757.53,
1144,382.2962513852993,7.072252799999999,,,,,,,,,,,209729.58,172754.97,199924.36,210130.77,361548.88,253584.75,
1741,383.189585063524,8.1328,,,,44.0,,,,,,,563894.0,1302736.8,946563.6,955555.1,2109502.2,1288536.5,
