"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML"
"2489/282.1136mz/4.37min",2970571.36,6762155.5,5812442,7054734,92429.9,114919.305,128700.72
"2490/649.357mz/4.39min",1193843.25,1553502,1298226.1,1837316.4,958586.3,1089460.4,1022433.75
"2491/495.2822mz/4.4min",48803.403,78457.28,54860.97,91190.37,30216.066,42745.836,34991.95
"2492/299.161mz/4.4min",45946.3596,172679.62,76577.266,187655.47,15315.4532,15315.4532,15315.4532
"2493/718.4511mz/4.41min",366846.815,490409.16,444472.97,478843.5,235047.9,214252.42,289220.66
"2495/488.2403mz/4.42min",335833.57,491406.47,356029.7,624224.25,224836.86,315637.44,235121.75
"2496/331.2491mz/4.43min",255852.65,200583.22,181113.52,208195.4,397026.44,304532.47,303509.9
"2497/343.2125mz/4.43min",273080.1,216214,196720.33,207035,660054.3,329946.2,355497.38
"2499/229.1445mz/4.52min",8074730.5,3197024.5,2381615.5,5316116,11872314,12000073,10833345
"2501/755.3624mz/4.45min",493227.75,602057.06,499139.7,791253.5,382544.88,487315.8,431598.06
"2503/325.1771mz/4.47min",376869.626,938650.75,735983.1,1051086.6,16585.477,17756.152,11507.069
"2505/301.202mz/4.48min",162604,33595.086,31295.475,95064.48,272418.53,263811.7,230143.52
"2506/481.2665mz/4.48min",261373.63,320573.06,251163.25,340479.4,215965.78,251505.16,271242.1
"2507/470.2507mz/4.48min",303892.235,314877.22,202691.19,474134.7,244215.6,343083.84,292907.25
"2508/184.1343mz/4.49min",1381337.4,1611479.5,1373366.4,1858349.5,1180716.5,1389308.4,1353622.1
"2509/228.1242mz/4.49min",3491520.9,4185557.5,3479379.8,4831240.5,3064490.2,3503662,3459786
"2510/347.1975mz/4.49min",186064.84,389166.6,310057.5,314418.38,62072.18,61144.59,56946.484
"2511/330.2367mz/4.5min",3217669.4,2413995.8,2118807.5,2481388.8,4689227,3953950,3993253.2
"2512/331.2391mz/4.5min",374832.31,279414.34,231390.11,285981.28,531942.8,463683.34,468354.22
"2513/373.1687mz/4.48min",305226.545,91330.52,53730.453,176370.53,802734.44,553344.25,434082.56
"2514/307.1915mz/4.5min",1358207.6,1194071.2,944552.7,1060703.4,1895437.2,1600408.5,1522344
"2515/329.2334mz/4.5min",17344366.5,13054260,11265764,13391695,23788316,21297038,21450350
"2517/388.2241mz/4.5min",307968.665,534563.44,462590.5,454841.1,138228.23,160156.4,161096.23
"2522/697.3934mz/4.53min",921075.06,307025.02,307025.02,307025.02,1784083.4,1535125.1,2127057.2
"2523/375.1846mz/4.57min",400042.86,169377.52,108669.75,321792.6,512576.38,478293.12,1262694.4
"2524/398.2296mz/4.53min",102552.9295,200785.03,129547.875,291234,36627.523,75557.984,47217.402
"2526/619.2776mz/4.55min",187864.68,62621.56,62621.56,62621.56,313107.8,340289.66,355264.25
"2527/328.2212mz/4.55min",1043061.4,946528.3,600501.9,696996.44,1345344.5,1159616,1139594.5
"2528/262.1084mz/4.54min",688420.3,997197.56,852502.3,1148885,428251.97,234936.42,524338.3
"2529/327.2178mz/4.56min",5256699.75,4862372.5,3869481.8,4590341,7005360.5,5920353,5651027
"2530/718.4511mz/4.55min",450505.31,636967.3,489025.62,571047.4,300774.28,288400.9,411985
"2531/228.1605mz/4.56min",559199.2,566873.2,475015.72,551525.2,632345.2,514663.78,576655.06
"2533/296.0928mz/4.58min",686508.72,1185961.8,1156385.5,1085837.5,213643.89,287179.94,262640.66
"2535/299.1864mz/4.58min",378826.39,139109.08,98173.88,224300.78,594281.8,609706.06,533352
"2536/495.2824mz/4.59min",99666.715,123851.45,64109.797,150162.02,83491.29,88835.74,110497.69
"2537/229.9645mz/4.61min",598156.815,808810.1,1001924.2,708925.25,487388.38,470111.97,464427.62
"2538/227.9667mz/4.61min",610209.1,833320.56,1033518.8,723674.3,496743.9,478637.88,467594.1
"2539/354.1096mz/4.62min",251521.525,82219.414,53297.42,152503.89,350539.16,396505.6,371260.8
"2540/262.1449mz/4.63min",1533012.45,1555197.4,1266419.6,1510827.5,1704224,1475310,1630357
"2541/394.271mz/4.63min",361049.22,777667.5,601748.7,670201,120349.74,120349.74,120349.74
"2544/375.1846mz/4.64min",818994.81,342115.53,240087.05,522725.62,1267029.6,1115264,1623766.2
"2546/311.1865mz/4.65min",329734.56,265984,184115.47,238068.03,481300.12,414425.6,393485.12
