Filename,2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML,2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML,2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML,2024_NEG_Anid-TJGIp4_1_Run183.mzML,2024_NEG_Anid-TJGIp4_2_Run212.mzML,2024_NEG_Anid-TJGIp4_3_Run233.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
477/327.1199mz/2.83min,541482.4,656530.7,471247.25,443327.16,469531.25,404532.53
478/322.1256mz/2.83min,78573.125,136155.5,209485.19,239917.81,185707.52,57921.58
480/197.0455mz/2.85min,8235.716,0.0,261071.25,87130.78,81747.53,0.0
481/241.1193mz/2.86min,171890.66,179851.94,146867.8,99196.36,121343.98,136801.9
483/223.0612mz/2.85min,3201292.5,1605010.4,5638986.0,2678390.0,4340845.0,491915.72
484/360.1774mz/2.85min,290459.7,303168.4,1329611.5,546191.7,377218.06,0.0
485/107.0503mz/2.85min,467996.53,628122.4,190237.14,70044.86,77653.45,83717.17
487/151.0401mz/2.85min,2151164.0,3175930.0,1040201.7,392764.84,499628.9,455402.25
488/270.0983mz/2.84min,245683.98,441023.7,0.0,22717.69,54435.68,15000.484
489/188.0353mz/2.86min,3348.978,4575.8403,361542.0,14062.355,0.0,0.0
492/294.062mz/2.85min,85167.24,5385.125,605577.44,77353.21,70505.17,0.0
493/215.0117mz/2.87min,108596.47,108654.84,770479.8,84374.51,45098.29,0.0
496/306.0985mz/2.86min,96459.17,52862.203,8112.129,4231.936,4908.7173,0.0
497/265.083mz/2.87min,81713.586,106042.2,169399.52,155663.33,148376.72,58658.914
498/168.0665mz/2.88min,84790.11,171129.77,132699.62,110691.88,125743.65,73970.44
503/131.0714mz/2.89min,20457662.0,23048808.0,40853556.0,13026253.0,10805442.0,4453819.0
504/132.0747mz/2.89min,1189763.1,1322014.9,2514358.0,753283.2,601629.25,243353.88
507/313.1504mz/2.89min,453228.12,524600.1,318480.6,211876.11,194429.69,10891.359
508/309.1093mz/2.89min,158939.78,168113.92,111830.65,125497.57,123534.25,101209.91
511/243.1714mz/2.82min,16680.543,9673.275,21376.965,68809.625,120160.84,801819.7
512/336.1414mz/2.92min,147843.06,157662.6,527804.2,270084.7,264933.3,0.0
514/293.1144mz/2.93min,138326.27,187928.12,963195.6,416372.9,812778.1,44533.617
515/254.1034mz/2.92min,1539419.8,2139358.2,1180411.2,1741748.4,1256602.5,2777475.5
516/273.1456mz/2.92min,259722.67,367093.72,1064260.5,415223.0,435035.72,0.0
521/301.1405mz/2.95min,7886.1685,44361.47,286991.03,22455.186,5454.8267,0.0
522/246.0983mz/2.92min,56098.68,13612.224,459611.94,324210.0,168759.19,31043.969
524/241.1194mz/2.94min,351776.47,496329.9,576958.7,328124.6,321485.06,571181.8
525/195.0299mz/2.94min,505928.88,746676.3,284931.94,85961.41,696107.25,0.0
528/195.0663mz/2.96min,1610865.6,1014264.6,3450133.8,1159063.1,1907629.1,250508.44
530/159.0663mz/2.97min,1143323.2,1715786.6,1221420.1,793305.9,695862.6,1076097.2
532/535.1096mz/2.98min,0.0,0.0,514110.12,0.0,0.0,0.0
533/230.1034mz/2.99min,34291.87,48958.574,209329.14,58413.81,64755.305,19408.357
534/310.0933mz/2.97min,82788.74,91557.97,443893.12,78746.91,198406.69,65426.656
535/277.1557mz/3.0min,0.0,0.0,7486.4946,26474.95,44476.312,307229.44
536/167.035mz/2.99min,8099251.5,4043967.2,5046329.0,3485743.2,9902303.0,525098.6
539/210.0771mz/2.99min,552633.8,732405.3,608794.3,459298.03,555090.25,528573.75
540/209.0455mz/2.99min,230830.0,281470.38,222426.4,809574.75,1015270.25,159407.05
541/457.2304mz/3.0min,87903.7,119853.88,1033233.8,796159.9,660244.56,46203.055
544/180.0666mz/3.02min,468600.5,664134.25,486326.0,379220.5,504526.1,84576.13
547/252.0878mz/3.03min,360290.8,386296.38,648256.44,200642.33,209811.6,78030.164
549/313.1042mz/3.05min,120543.68,369010.4,100303.53,138364.55,148631.14,0.0
550/461.0725mz/3.03min,16955.637,0.0,278200.3,179811.69,134069.69,0.0
551/237.0405mz/3.04min,33469.918,9491.25,575042.4,134898.03,113248.85,10337.789
552/431.9951mz/3.05min,593485.9,665961.4,0.0,4843.352,58923.754,0.0
554/230.1034mz/3.03min,34291.87,48958.574,210070.95,32583.559,60602.11,25176.594
555/277.083mz/3.06min,0.0,4596.5215,397664.34,35622.676,25327.078,0.0
556/189.0768mz/3.06min,4019944.8,5571851.5,7024449.5,4951464.0,2957678.0,1135573.4
557/236.0928mz/3.06min,44898.387,49934.41,108526.85,177447.83,191841.16,9763.004
558/336.109mz/3.07min,153852.48,91368.414,972439.0,290540.1,185194.2,31489.645
560/153.0557mz/3.07min,0.0,8461.215,3069830.0,355178.28,393666.25,0.0
561/190.0802mz/3.06min,340924.94,461008.78,591508.56,402722.1,252143.2,76873.2
562/275.1038mz/3.07min,247028.48,334067.62,300250.06,180061.36,180475.81,289881.0
563/447.093mz/3.09min,0.0,0.0,152647.88,80935.15,20144.488,0.0
564/170.9854mz/3.08min,117439.79,124334.95,961270.3,231839.72,107622.79,0.0
565/172.0979mz/3.02min,193128.52,165958.39,2927450.5,495582.03,397619.47,363727.6
566/222.1247mz/3.08min,27472.55,45855.49,297053.56,109142.37,265854.47,0.0
569/356.1825mz/3.09min,257205.94,358684.88,412905.4,612350.5,652386.06,829986.1
570/280.0827mz/3.08min,173789.69,203840.7,521075.72,284201.06,463024.34,123214.03
571/301.1406mz/3.09min,284072.22,501244.9,241752.58,146085.31,169271.56,159679.67
572/277.1557mz/3.1min,0.0,0.0,0.0,40534.145,55530.402,87351.75
573/221.0932mz/3.11min,151832.47,46168.746,1937375.2,241280.77,259583.38,0.0
574/167.035mz/3.09min,398499.2,250503.25,959896.2,306574.84,565666.94,0.0
575/194.0458mz/3.11min,325022.2,293122.34,1987665.2,690215.94,386002.06,10462.893
578/195.0663mz/3.13min,117007.65,153767.72,826921.44,1327703.6,2663432.8,0.0
580/166.059mz/3.13min,192385.95,212934.69,83398.805,85145.23,185822.17,367353.8
581/317.0669mz/3.13min,83889.914,110082.14,95738.375,29553.043,30312.521,0.0
582/165.0557mz/3.13min,2267813.8,2506196.0,1116795.0,1112471.5,2221090.5,4236522.5
583/397.0056mz/3.13min,174976.98,125260.1,139790.6,164493.95,156413.97,183363.28
585/313.1042mz/3.13min,456173.84,1014674.2,121261.84,282310.9,266598.94,0.0
587/296.0775mz/3.14min,469503.3,122084.06,0.0,9452.926,54778.477,0.0
588/336.109mz/3.11min,153852.48,91368.414,803320.9,288202.25,197552.95,22645.422
590/164.0353mz/3.14min,180292.47,186965.95,1095567.2,317961.9,229337.0,41902.766
591/188.0353mz/3.17min,456810.72,664676.7,929719.44,264120.06,44218.754,54016.562
