Filename,POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML,POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML,POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML,POS_D5-211-C1-a_Run91.mzML,POS_D5-211-C1-b_Run94.mzML,POS_D5-211-C1-c_Run97.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
811/579.2629mz/7.9min,1135590.4,1060975.6,1168674.9,1056043.6,1109249.6,987264.06
813/851.7091mz/7.89min,2551122.8,2745568.8,3375858.5,3429.7769,90945.51,114861.26
816/738.5039mz/7.92min,85132.94,71375.59,67175.41,4215380.5,1375213.2,1346800.4
817/310.3101mz/7.93min,362640.94,355106.4,384012.75,1257311.2,652772.6,595495.1
819/385.7243mz/8.02min,0.0,0.0,0.0,2418040.5,1984942.5,1716227.2
820/406.748mz/8.02min,0.0,0.0,0.0,1410870.4,499877.5,397209.97
824/284.2946mz/7.99min,435055.0,531644.06,479970.28,293112.6,367118.03,386128.47
825/365.2659mz/7.99min,593812.3,743907.44,473638.7,171407.89,300535.22,273426.28
826/716.5219mz/7.97min,66374.05,20822.475,46119.66,11560553.0,13906262.0,13735476.0
827/738.504mz/7.99min,0.0,0.0,3262.1387,1046423.4,2836048.2,5297589.5
828/336.3257mz/8.04min,236892.75,372257.1,288911.72,767306.5,867134.4,542007.4
829/550.628mz/8.05min,67251.805,78156.516,35123.992,132386.9,429628.8,121466.85
831/406.748mz/8.07min,0.0,0.0,0.0,874185.44,1053814.0,960250.2
832/205.0171mz/8.12min,4198010.5,4218045.0,4061250.8,1479569.8,1423419.5,1436692.2
833/163.9905mz/8.12min,1626004.5,1656004.4,1613645.8,580989.94,576214.9,500484.5
836/761.5872mz/8.15min,0.0,0.0,0.0,1221753.0,4386958.5,230002.27
838/628.1941mz/8.21min,192907.95,208010.84,186779.62,825533.56,754927.7,929054.56
839/633.1495mz/8.21min,328845.47,358545.62,331097.1,1609611.6,1593231.9,1813975.8
845/754.5342mz/8.22min,30232.46,24354.37,15377.885,1353259.2,1773464.6,2798670.0
848/377.3199mz/8.21min,534412.2,484646.44,463716.62,548580.4,541303.2,971140.4
853/752.5195mz/8.22min,235229.22,52500.09,24678.91,604754.25,459753.0,791743.2
854/395.3306mz/8.22min,224848.12,297995.9,235846.8,220896.86,218874.84,270652.0
855/780.5507mz/8.22min,89234.68,120466.19,73160.71,10348339.0,9650883.0,13235105.0
856/808.582mz/8.22min,47435.69,54325.81,70003.81,969444.4,1635228.2,1373465.6
857/782.5649mz/8.22min,138244.16,153798.86,166871.42,9252705.0,7034441.5,2866235.5
862/827.7093mz/8.22min,0.0,419537.88,401063.9,0.0,0.0,8121.1685
864/421.2506mz/8.22min,557212.2,625958.1,573134.25,333555.2,278830.4,366359.25
866/851.7092mz/8.22min,3108354.8,2972203.5,3487461.0,236075.34,599304.0,659781.94
