"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p4_1_Run186.mzML","2024_NEG_Anid-p4_2_Run195.mzML","2024_NEG_Anid-p4_3_Run224.mzML"
"344/907.3791mz/2.49min",218824.235,180561.66,238966.47,523366.97,37650.844,198682,371854.06
"345/755.2998mz/2.49min",189743.91,54794.035,102846.195,498328.5,195066.72,391996.75,184421.1
"347/227.1401mz/2.46min",224121.2475,58356.824,50209.938,601205.2,1473002.6,364883.94,83358.555
"349/146.0611mz/2.5min",1143481.9,1353362.5,1939206,1045152.9,28095.346,274517.2,1241810.9
"350/892.391mz/2.51min",69319.902,4547.1828,4547.1828,115903.89,320475.34,138665.7,22735.914
"353/181.0507mz/2.51min",1285227.35,1538228.1,1032226.6,1652929.4,93193.375,646980.9,4014495
"354/182.046mz/2.52min",34972.691,47000.99,62743.355,35667.3,15698.984,28520.889,34278.082
"356/139.0401mz/2.53min",2816358.6,330695.72,417905.12,15827344,3710267.8,3975974.8,1922449.4
"357/176.0645mz/2.52min",760589.33,485133.9,731243.1,789935.56,2206177.2,890736.75,412545.44
"359/115.0401mz/2.52min",121849.41,66616.65,83354.43,160344.39,420817.56,165106.92,80692.375
"361/175.0612mz/2.53min",10421617.5,6634416.5,9979038,10864197,30312596,12096896,5695057.5
"362/240.0878mz/2.53min",365069.29,484291.47,768745.1,363180.3,246342.06,366958.28,337502.3
"363/551.1521mz/2.53min",249133.7,249133.7,249133.7,249133.7,1245668.5,249133.7,249133.7
"366/411.1269mz/2.53min",164299.2725,83524.53,97458.875,231139.67,310080.84,264491.22,62316.24
"368/95.0503mz/2.53min",211780.86,16159.621,15130.328,1389158.5,278531.03,308364.97,145030.69
"369/192.0665mz/2.54min",132928.236,13048.298,4829.204,262201.88,202628.66,268980.47,63227.812
"370/153.0194mz/2.5min",310991.21,279268.62,342713.8,2672796,177222.9,1049186.8,125296.55
"371/318.1672mz/2.54min",249022.215,89791.52,87341.484,998911.06,296801.03,781799.8,201243.4
"372/180.0666mz/2.55min",1078225.875,1341020.4,970185.25,72133.61,5889.242,1186266.5,1987830.4
"373/349.1039mz/2.54min",557640.5,679700.1,618096.25,397529.1,497184.75,477920,678269.6
"379/285.1457mz/2.56min",528945.23,48969.055,29586.293,769984.56,4817917,708082.8,349807.66
"383/587.2937mz/2.57min",56281.34,56281.34,56281.34,56281.34,281406.7,56281.34,56281.34
"384/288.0726mz/2.62min",55779.254,202388.39,598755.4,23282.648,788.7788,3943.894,88275.86
"385/232.119mz/2.56min",358028.075,240467.44,272342.62,1163844.9,443713.53,855200,152103.5
"386/327.1197mz/2.57min",290233.75,431923.4,505360.3,243227,229364.56,266220.22,314247.28
"387/237.1244mz/2.57min",102767.125,77563.82,99828.31,334793.2,78431.58,212770.92,105705.94
"388/282.1179mz/2.57min",119571.6975,83485.3,122035.125,404168.88,117108.27,259415.22,107626.61
"389/281.1144mz/2.57min",1033771.97,709936.7,1024214.94,3108250.5,973579.56,2104737.2,1043329
"390/301.1406mz/2.57min",1418789.75,1413009.5,1317255.8,1488570.9,6127706,1033698.5,1424570
"391/348.1411mz/2.57min",52645.559,4961.1476,4961.1476,80485.38,406710.9,81338.06,24805.738
"392/595.2624mz/2.57min",52372.078,7544.0312,7544.0312,105180.67,498186.88,67024,37720.156
"394/611.2572mz/2.57min",222043.86,232215.17,211872.55,236532.39,716596.1,125289.984,188507.98
"396/129.0558mz/2.53min",1308443.625,765291.25,558444.56,7409046.5,7859170.5,1851596,335972.7
"397/591.2309mz/2.58min",118073.09,91501.375,130368.79,380846.97,86960.68,196555.83,105777.39
"398/265.083mz/2.58min",888839.53,1118218,1233017.9,948543.06,772541.4,761368.9,829136
"399/272.0235mz/2.58min",808663.45,46718.76,46718.76,1645360.2,3021927.5,1383733.1,233593.8
"401/309.1093mz/2.59min",6545432.25,7888553.5,9016465,6780993.5,5695035,5799159.5,6309871
"402/619.226mz/2.59min",693165.68,984391.1,1140694.2,825389.06,417114.9,536931.75,560942.3
"404/254.1034mz/2.59min",838431.45,2064674.2,2648154.2,1173447.4,503415.5,434245.25,324821.38
"405/246.0983mz/2.59min",259014.38,119355.67,100863.11,263380.6,1075621.2,784855.44,254648.16
"406/214.1085mz/2.6min",311274.44,182246.81,220940.72,401608.16,757833.9,482286.25,181217.4
"407/326.1246mz/2.59min",373665.814,853690.4,886109.9,9011.283,1802.2566,19628.328,727703.3
"410/199.0612mz/2.61min",73088.6015,3654.807,4690.825,98001.93,447113.97,195120.75,48175.273
"411/183.0663mz/2.61min",1018721.03,329181.9,356371.97,3791394.5,875302.56,1162139.5,2051510
"414/367.1395mz/2.61min",5502.3618,5502.3618,5502.3618,79958.42,5502.3618,5502.3618,27511.809
"416/315.0821mz/2.62min",21748.7605,17825.443,9006.596,25672.078,1259574.2,34347.645,10688.254
"417/230.1034mz/2.62min",1838407.2,1599189.9,2080902,3339783.5,807632.3,2077624.5,1121355.1
"418/356.0985mz/2.63min",123619.18,22358.318,22358.318,614959.7,135446.77,322285.56,111791.59
"419/225.0881mz/2.62min",555728.475,303275.47,532163.75,1602977.4,579293.2,813498.44,377668.1
"420/293.0991mz/2.63min",228218.95,203840.84,252597.06,313266.62,92201.305,257009.97,108546.5
"421/196.0615mz/2.63min",2525471.4,2332463.5,3862813,3102731,2540107.8,2510835,2150303
"423/805.2107mz/2.63min",287202.535,194756.27,361989.4,562098.06,254389.67,320015.4,72798.73
"424/815.2395mz/2.63min",1187049.8,1184415.5,1287824.4,1189684.1,1236098.1,1150287.6,351486.88
"425/832.2297mz/2.64min",465373.25,424588.3,506158.2,751217.5,413464.25,507005.5,146867.22
"428/225.0773mz/2.65min",108053.82,127383.46,110013.34,106094.3,4396.3027,30143.508,388323.12
"432/189.0768mz/2.63min",61375.449,4273.4,21519.023,106550.71,101231.875,110573.625,21367
"435/297.073mz/2.66min",107065.2695,128134.99,149797.23,110649.125,73842.195,103481.414,94035.03
"436/259.1299mz/2.65min",34368.4475,21358.018,24573.61,105408.984,165006.95,44163.285,4271.6036
"437/328.1992mz/2.67min",41818.68,13939.56,13939.56,293152.06,703136.6,69697.8,13939.56
"438/167.0713mz/2.67min",129602.225,11905.08,11905.08,336037.34,348000.47,199679.05,59525.4
"440/390.0827mz/2.67min",47276.98,47276.98,47276.98,47276.98,236384.9,47276.98,47276.98
"441/192.0302mz/2.68min",129881.39,4469.0596,893.81192,454024.28,152666.14,501515,107096.64
"442/258.0981mz/2.65min",119020.575,29539.506,73927.75,348741.97,508812.78,164113.4,4368.1143
"444/178.051mz/2.68min",858649.825,872729.9,1120524.8,1491842.6,531730.56,844569.75,602591.44
"445/210.0771mz/2.69min",460963.27,452391.6,437354.62,494909.44,557120.9,469534.94,378169.56
