"","filter","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp3_1_Run40.mzML","POS_TJGIp3_2_Run126.mzML","POS_TJGIp3_3_Run164.mzML"
"1479/118.0861mz/6.14min",2759173.7,1511942.6,1828325.4,5818617.5,1075949.4,3897959.8,3690022
"1483/542.3211mz/6.16min",2666998.1,2705252.8,2684060,2989405.5,2216177,2243333.5,2649936.2
"1485/332.3307mz/6.14min",3109841.4,112452.76,562263.8,7786569.5,112452.76,5657419,6765411.5
"1487/284.3307mz/6.14min",249650.07,2010.2694,10051.347,472318.06,26982.08,1024738.2,1210958.9
"1491/307.2262mz/6.17min",1006852.93,1045189.3,1417683.2,1462594.5,892300.75,936359.75,968516.56
"1492/279.2315mz/6.17min",7304462.25,7598787,6366659,7236346,6958554.5,7372578.5,7844613.5
"1493/280.2348mz/6.17min",1379388.3,1474350.4,1218789.5,1585162,1357833.5,1400943.1,1357258.5
"1494/557.4559mz/6.17min",315717.59,319119.84,312315.34,402008.38,272618.44,288077.7,366349.6
"1498/296.258mz/6.17min",512701.7,877903.6,340912.47,320594.53,640973.7,384429.7,654973.2
"1500/395.3304mz/6.15min",529158.78,278314.47,660925.5,1723668.9,376742.06,397392.06,1282570.8
"1501/444.3467mz/6.12min",65544.27,2115.4714,75321.69,1543715.1,10577.357,55766.85,1166941.6
"1503/634.3589mz/6.18min",525587.06,482535.56,356099.66,364896.22,568638.56,1547594,1660371.1
"1504/468.3579mz/6.24min",360403.91,461632.16,439444.72,822504.1,234883.22,105070.91,281363.1
"1506/593.3288mz/6.18min",917164.575,1188932,1180180.9,1272296.9,499041.94,543807.1,654148.25
"1507/457.3995mz/6.15min",540637.73,532652.06,548623.4,133636.77,688939,578729.5,55001.297
"1509/227.1275mz/6.19min",183175.365,350365.06,216943.9,228693.84,122369.21,115517.76,149406.83
"1510/383.2423mz/6.18min",216745.2,415592.2,280848.2,315738.97,135535.9,102080.86,152642.2
"1511/588.3735mz/6.19min",890699,2743552.8,1096477.5,783284.25,998113.75,437494.4,473964.1
"1512/399.2373mz/6.19min",597600.905,1091366.5,748661.06,819016.1,373039.8,381670.88,446540.75
"1514/333.3342mz/6.15min",338320.2315,672.2926,672.2926,919605.9,3361.463,673279,1643131
"1516/451.3312mz/6.18min",191123.925,247492.72,211923.9,170323.95,579771.44,79289.125,80149.016
"1517/454.2923mz/6.19min",3815103.75,3824586,4226114,4491058.5,3445088,3616923.2,3805621.5
"1521/450.3481mz/6.24min",106245.615,261439.83,342673.34,69895.44,126964.98,85526.25,32790.656
"1524/385.3419mz/6.24min",95257.812,327803.56,158763.02,31752.604,671326.8,31752.604,31752.604
"1525/1077.7175mz/6.2min",401328.015,442683.6,377673.28,477060,242195.97,335835.44,424982.75
"1526/969.7555mz/6.24min",8206.91475,3135.8716,9508.662,618953.56,627.17432,6905.1675,235880.88
"1529/485.4308mz/6.26min",1886795,3226582.5,2609790.2,747142.25,3197029,1163799.8,495137.9
"1530/358.3312mz/6.27min",178833.392,274732.8,502930.22,82933.984,961455.8,39893.805,36827.414
"1531/410.3413mz/6.27min",219097.01,724375.06,263423.16,174770.86,282835.3,73952.164,60843.184
"1532/295.2263mz/6.23min",264897.665,283580.47,285295.28,246214.86,359374.94,216108.44,210888.58
"1533/522.2827mz/6.18min",350402.01,516537.44,507505.44,73220.17,648992.44,193298.58,45954.74
"1535/277.2158mz/6.24min",167882.285,190923.08,159343.19,159409.4,259102.25,176355.17,143585.86
"1539/508.3395mz/6.24min",246219.22,287919.6,257499.5,372127.84,206310.56,203664.03,234938.94
"1540/332.1948mz/6.25min",2223096.5,1612369.6,2440056,2244907.5,1753349.9,2215300.5,2230892.5
"1541/480.3079mz/6.25min",466690.67,466463.9,459685.2,511947.66,450353.2,476869.84,466917.44
"1542/331.6932mz/6.25min",6163924.75,4716842.5,6729319.5,6155406.5,5073588,6460730,6172443
"1543/643.4057mz/6.25min",2227058.2,1691915.4,2388334,2291348.2,1622923,2256042.2,2198074.2
"1544/646.4143mz/6.25min",52849965,53185720,51893940,54144020,45042676,52514210,54804884
"1545/662.3879mz/6.25min",1970542.55,1854625.6,1947869,2040338.2,1639801.9,1993216.1,2133573.5
"1546/955.6195mz/6.26min",423838.345,187868.9,380426.72,494522.12,233986.53,467249.97,471305.97
"1547/624.4329mz/6.26min",105702975,135910060,101226740,105307150,106098800,99971720,108166250
"1550/496.3396mz/6.26min",974719.95,943119,1030903.5,1065836.5,815985.9,869852.7,1006320.9
"1554/453.4047mz/6.32min",220535.245,345491.66,307649.47,133421.02,604119.94,30691.021,122707.08
"1556/451.3315mz/6.29min",1824945.8,1589488.4,2281696.2,2030391.1,1585791.2,1912864.4,1737027.2
"1558/391.2991mz/6.29min",532678.86,779449.75,593412.06,834451.06,454314.47,471945.66,443849
"1563/313.2361mz/6.3min",111787.4325,166106.31,131054.555,153320.86,92520.31,82353.16,80208.6
"1564/361.2005mz/6.3min",948949.05,1071499.9,949953.6,823014.3,811135.94,1038943.5,947944.5
"1565/383.1825mz/6.3min",536593.82,260676.19,517401.7,555785.94,241016.72,621730.3,582381.2
"1568/346.2948mz/6.3min",379105.525,321116.9,335611.84,399726.75,417359,358484.3,421660.78
"1572/454.3313mz/6.35min",503729.865,693962.1,570355.1,472235.53,465969.78,535224.2,367457.97
"1577/358.3312mz/6.33min",313943.22,48888.99,1671589.5,459673.88,271749.28,356137.16,87844.27
"1578/118.0861mz/6.25min",936270.575,86546.305,910350.75,2849019.2,159855.97,962190.4,1500429.9
"1579/418.316mz/6.33min",379474.015,443381.47,523101.8,624293.6,270744.06,275648.44,315566.56
"1581/132.1018mz/6.33min",73876.485,10638.78,94559.07,658537.94,10638.78,53193.9,627965.1
"1582/542.3472mz/6.39min",879363.23,2202310.2,1479304.9,89586.84,1926297.5,279421.56,64798.227
