"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML"
"3133/299.259mz/7.64min",6356617.75,4691099,6366665.5,6637710,6346570,5799599,7157790
"3134/471.2417mz/7.65min",287650.375,173894.77,330130.47,281815.53,639983.2,293485.22,240749.14
"3138/455.2469mz/7.65min",10396893,8069882,10288768,10505018,17975586,11248041,9948739
"3140/453.2522mz/7.65min",504484.95,387042.75,495193.56,513776.34,833380.56,541823.8,479194.3
"3142/675.5445mz/7.65min",549304.64,549304.64,549304.64,549304.64,2746523.2,549304.64,549304.64
"3144/467.3852mz/7.65min",318872.225,9631.032,20320.232,25864.85,764186,611879.6,724645.06
"3145/368.3167mz/7.65min",2991137.35,1450270.6,1949165.1,2300816.5,4458998.5,3681458.2,4859307
"3146/749.3497mz/7.65min",606097.68,350740.28,584500.3,571709.75,1274726.6,627695.06,1213555.4
"3148/738.5082mz/7.65min",1874415.25,1957715.1,1791115.4,2130435.8,3019.6243,7714059.5,1606915.1
"3150/457.3322mz/7.66min",2624814.5,1855412.2,2084837.9,2440192,3284755.2,2809437,3803321.2
"3151/771.3909mz/7.66min",51035.525,598135.4,7074.73,35373.65,7074.73,139478.12,66697.4
"3153/751.3466mz/7.66min",842871.9,239852.28,806728.8,771415.75,1739092.6,879015,1639943.8
"3154/423.3091mz/7.66min",891628.95,622581.75,1061218.4,899910.3,2192976,656867.75,883347.6
"3155/451.1114mz/7.66min",335143.7,164863.86,284944.84,339275.8,605549.94,331011.6,406233.47
"3158/355.3217mz/7.66min",79129490,61722256,79839096,79596990,97857816,73406264,78661990
"3159/356.325mz/7.66min",19058776,14843528,19315196,19124466,23520512,17694954,18993086
"3160/357.3279mz/7.66min",2431351.1,1893309.1,2454518.2,2450424,3045065.2,2265671.2,2412278.2
"3163/711.6503mz/7.66min",169793.605,160420.38,99276.95,292809.34,360766.97,132094.17,179166.83
"3164/544.4218mz/7.67min",229949.14,90643.52,175762.06,129004.164,624453,284136.22,340977.44
"3168/833.5187mz/7.67min",3030834.25,11356472,1887943.5,11277634,24035.961,120179.805,4173725
"3169/497.2881mz/7.67min",68153.156,671664.5,766850.8,3547.1318,128277.76,8028.552,4101.286
"3170/391.2983mz/7.67min",1392469.4,1344561.6,1657785.4,1419412.8,1507158.5,1365526,1137288.2
"3172/387.1627mz/7.67min",552950.27,524280.66,500218.75,576590.1,664266.56,534469.44,571431.1
"3176/343.2853mz/7.67min",1022316.85,825950.56,851448.9,976834.1,1127800,1067799.6,1138343.4
"3179/588.4665mz/7.67min",233918.68,233918.68,233918.68,233918.68,1169593.4,233918.68,233918.68
"3180/901.364mz/7.67min",236788.3,236788.3,236788.3,236788.3,1183941.5,236788.3,236788.3
"3181/480.3095mz/7.67min",7515503.75,136878.05,15148057,14125590,3361.919,12480044,2550963.5
"3182/325.2748mz/7.67min",647057.775,327091.4,387744.3,321132.94,1030119.06,906371.25,1169137.9
"3183/313.2383mz/7.68min",341697.5,431061.5,594697,339502.56,287028.28,150264.03,343892.44
"3184/313.2747mz/7.66min",624913.5,2580067.5,492286.44,603153.6,646673.4,545928.1,674532.9
"3185/731.4859mz/7.68min",86217.6615,706823.5,64540.363,577164.6,2101.7526,10508.763,107894.96
"3186/579.33mz/7.68min",390629.845,593291.4,380888.75,113863.28,4106.8223,400370.94,518186.12
"3191/351.1864mz/7.68min",3899243.5,2717554.2,3087382.2,4076541.5,4616360,3721945.5,5094005
"3192/742.5032mz/7.68min",1160496.35,7944074,1696768.4,1141019.9,404580.2,1103085,1179972.8
"3193/766.503mz/7.68min",1529806.05,4174174.8,2457522.8,875963.06,175192.612,1502594.6,1557017.5
"3194/769.5021mz/7.68min",84320.3985,13193354,127080.75,41560.047,999.45292,4997.2646,430596.53
"3195/194.9057mz/7.67min",38523.115,42132.562,34913.668,54922.805,1100921.1,31175.67,20751.283
"3198/354.1868mz/7.68min",449306.3,276760.62,358105.03,466603.66,550903.44,432008.94,589529.25
"3203/713.4758mz/7.67min",152815.877,1049061,32690.814,872346.7,3121.56,14420.707,272940.94
"3205/729.4699mz/7.69min",49440.8043,709770.7,631430.25,7197.1636,1439.43272,1439.43272,91684.445
"3206/397.3321mz/7.68min",709270.53,444679.5,744487.06,705665.06,712876,600820.56,793958.25
"3207/339.1998mz/7.68min",383082.315,433892.25,302849.56,380581.16,6835342.5,385583.47,255305.1
"3208/782.4971mz/7.67min",60134.5375,30574.05,59959.61,173765.06,6114.81,1568659.5,60309.465
"3213/653.301mz/7.66min",1572.42412,1572.42412,7862.1206,1572.42412,1438716.6,1572.42412,1572.42412
"3219/116.9285mz/7.69min",57627240,45633480,54282720,59195636,81359150,57699380,57555100
"3220/117.9286mz/7.69min",6380733.75,5241524,6220592.5,6675998,9309955,5401425.5,6540875
"3221/671.4659mz/7.69min",2980584.65,7202847,1243477.2,2152367.5,1051512.2,4263969.5,3808801.8
"3222/695.4662mz/7.68min",1504006.45,5445293.5,399860,1479253.4,183682.69,6864047.5,1528759.5
"3224/255.2328mz/7.69min",339330.63,302724.25,150149.97,319127.66,413775.94,380335.9,359533.6
"3226/356.1603mz/7.69min",1349710.9,1052542,1308021.6,1314614.2,2252308.2,1384807.6,1391800.5
"3227/409.236mz/7.68min",127912.095,1036159.3,194122.8,104234.09,151351.8,61335.555,104472.39
