"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML","shared_name"
"2591/180.103mz/4.67min",2.5373251147091,2.19532201292897,2.54064557382641,3.0742127643637,3.10830070234776,2.93651667734273,"2591"
"2592/251.1038mz/4.67min",2.36598522119623,2.09616913084139,2.69907835073104,2.82229266825704,3.13938908969786,2.86214917545938,"2592"
"2594/375.1846mz/4.65min",2.61336085443206,2.3226271506822,2.79218184469912,3.33506478971255,3.39398843209085,3.28693692723955,"2594"
"2598/361.177mz/4.71min",2.44346296192467,2.20426408836294,2.47125055470432,3.02651798558714,2.95341763823836,3.08567371545569,"2598"
"2599/187.1339mz/4.71min",3.32891798207245,3.17532152197507,3.40334247223223,3.6129499192194,3.66294276497593,3.7302418721049,"2599"
"2600/309.2072mz/4.71min",3.4501859063322,3.24157921189573,3.45289572396471,3.8453223710114,3.88296637300578,3.90174085430572,"2600"
"2603/539.3241mz/4.73min",2.71042289901227,2.5637767125396,2.68886746467791,3.14990955777464,2.96136463722861,2.55488845039707,"2603"
"2604/307.1915mz/4.74min",2.55347765117428,2.32128116081652,2.52009835434354,2.95504813882498,2.95253155747694,3.16915844119743,"2604"
"2612/297.2183mz/4.77min",2.34653544178373,2.16350101713103,2.4103227077018,3.20922351080059,3.14182161262959,2.81555247286536,"2612"
"2618/329.2333mz/4.83min",4.03797546929314,3.8284784825918,4.11558771962246,4.39664879535746,4.46062229381574,4.40949861143511,"2618"
"2619/408.1849mz/4.83min",2.38330329634601,2.09056342425962,2.49335398886168,2.74722757177999,2.87725753572542,3.03074397604454,"2619"
"2620/521.2976mz/4.84min",2.61042965454669,2.42885768058247,2.7917607212019,2.66193491071226,2.69710660213011,2.51380640493214,"2620"
"2621/243.16mz/4.84min",2.468515778224,2.39888418431742,2.65142643286345,3.03537862854939,3.15032171927624,3.26808521328144,"2621"
"2622/287.1864mz/4.84min",3.05217918486531,2.99577371169332,3.12358027086842,3.43065253138148,3.51204371689109,3.48332973726348,"2622"
"2623/330.2367mz/4.83min",3.44733927405664,3.05909716126327,3.3524546879063,3.65886440059693,3.75505243534481,3.67772731372533,"2623"
"2625/259.1914mz/4.85min",2.47031535975103,2.29984521108019,2.58802775802211,2.7941098365344,2.90489845619497,2.75746059017156,"2625"
"2629/242.1398mz/4.86min",3.64219917561049,3.42830905827257,3.81707017722704,4.24723918954329,4.3091448636489,4.22895679423486,"2629"
"2630/313.2384mz/4.87min",2.70893619377556,2.92011291018281,2.77893414242908,3.07512299084652,3.13961218110447,3.11720323009185,"2630"
"2631/198.1499mz/4.86min",3.17259590599257,2.97267293857509,3.34437223766742,3.7829528471501,3.84760420903939,3.75571350303558,"2631"
"2633/232.1342mz/4.88min",2.64938842989777,2.440595589248,2.85062635669931,3.35540784220701,3.41886064688625,3.36198014286441,"2633"
"2634/276.124mz/4.87min",3.26359096549125,3.03476815470721,3.43708049910721,3.91292754128114,3.98489028835758,3.92693304319494,"2634"
"2638/555.2823mz/4.91min",2.77670482075648,2.59138668590291,2.92877391266705,3.61189460155961,3.59293921368259,3.59819451378927,"2638"
"2639/640.3354mz/4.91min",2.44469514747966,1.79963870407198,2.68372094755941,2.99666063339485,2.96733754992263,2.27953379049128,"2639"
