Filename,2024_POS_CC_1_Run20.mzML,2024_POS_CC_2_Run47.mzML,2024_POS_CC_3_Run61.mzML,2024_POS_CC-VPA_1_Run26.mzML,2024_POS_CC-VPA_2_Run35.mzML,2024_POS_CC-VPA_3_Run76.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
293/440.3578mz/6.46min,99839.71,96390.3,85232.69,100750.93,94146.64,103366.8
294/393.261mz/6.47min,1339754.4,866359.3,1495963.1,1271304.6,1577677.8,1475334.2
295/508.3396mz/6.47min,41868.297,12540.226,38907.137,36044.324,43850.984,60848.65
296/371.279mz/6.47min,807974.25,502538.06,946421.2,771132.8,1159424.0,1004060.06
297/544.3369mz/6.48min,255326.72,179877.73,294052.8,275314.9,380198.3,352080.16
298/522.3552mz/6.48min,4799610.5,3364305.8,5548329.0,5311886.0,7038922.5,6329740.0
299/494.324mz/6.5min,356042.94,215864.33,363901.78,281018.66,352806.1,421267.2
301/365.1358mz/6.55min,522036.38,296426.28,462507.6,394162.03,472362.9,469984.88
302/508.3395mz/6.57min,146893.14,75806.875,133505.17,109524.266,151248.53,183435.75
303/400.3055mz/6.59min,451328.5,251977.0,413622.84,355622.2,540596.2,457974.75
304/444.3317mz/6.61min,650396.7,361575.25,588816.3,527629.06,750013.06,640747.25
305/488.358mz/6.62min,653631.0,337993.88,588299.9,521135.88,753729.3,626175.5
306/532.3841mz/6.62min,516246.6,284254.53,479786.34,398711.44,603330.4,497401.06
307/664.4623mz/6.63min,38526.01,13990.719,37071.38,23816.664,39621.562,38040.887
308/313.1434mz/6.63min,667083.25,374542.4,574642.25,499744.56,744089.8,663846.3
309/576.4103mz/6.63min,321578.8,170860.98,299187.72,261514.48,376913.1,324641.8
310/669.328mz/6.62min,57947.742,17006.424,96160.99,88101.16,35646.684,4875.9814
312/358.2739mz/6.66min,1072762.2,877293.44,819912.5,692284.4,947543.3,896920.56
313/398.2663mz/6.66min,465436.38,330661.7,344556.2,265920.84,412869.4,404283.97
314/289.2161mz/6.66min,268152.3,255270.72,427216.56,332018.56,648884.1,407177.0
315/583.2912mz/6.67min,1980099.9,966186.25,1593927.2,1535039.2,2083780.5,2040037.1
316/283.2631mz/6.68min,2036659.6,1440401.5,2189052.0,1676630.5,2690957.8,2269449.8
317/522.3188mz/6.68min,1167741.6,231827.39,956361.94,1032529.7,869603.25,1258605.5
318/265.2525mz/6.68min,360203.2,259705.45,393826.16,305992.62,512434.16,428533.6
321/482.324mz/6.71min,388187.78,231938.73,366019.97,332693.12,438988.12,451868.7
322/581.2756mz/6.71min,201791.72,132075.48,184306.94,199201.58,256089.66,191738.67
323/228.2321mz/6.72min,60039.434,50845.383,61009.395,53968.24,60481.57,70363.03
325/289.2161mz/6.71min,237977.33,228754.78,336112.38,240051.38,526558.7,308675.88
326/395.2767mz/6.75min,41471.047,29983.357,41791.73,55800.57,174071.55,91185.02
327/567.2599mz/6.77min,701683.2,693035.56,518358.88,793587.94,955087.1,732361.3
328/284.1337mz/6.77min,73940.195,53117.48,60785.402,67839.37,95341.664,73648.07
329/297.2423mz/6.78min,1471426.9,1163659.1,1768609.0,1368638.8,2427392.2,2190432.5
330/319.2243mz/6.78min,886726.0,655611.8,1019114.0,765618.4,1274120.0,1224768.1
331/279.2318mz/6.78min,629786.56,482344.56,802216.6,606325.5,1157397.1,1019534.56
333/581.2755mz/6.82min,230446.7,172228.12,219921.56,242048.6,292272.62,245438.61
334/482.3239mz/6.82min,2644683.5,1575998.1,2488383.5,2185067.0,2801126.0,2958172.2
335/508.3396mz/6.85min,100566.945,48741.5,98018.15,92197.03,102005.99,118921.016
338/567.2599mz/6.87min,732913.8,564693.94,528920.2,602350.5,757259.8,687799.8
339/283.144mz/6.87min,145386.92,10066.047,248361.39,287242.25,87895.2,126563.41
340/669.328mz/6.87min,817989.7,141955.81,1355024.5,1680373.8,475931.0,671632.06
341/583.2913mz/6.87min,12503.755,0.0,34971.58,34256.113,5089.627,6318.9165
